"astro-ph/0202443","Ersin Gogus","Richard Lieu (University of Alabama in Huntsville)","The effect of Planck scale space time fluctuations on Lorentz invariance
  at extreme speeds","Accepted by Astrophysical Journal Letters","Astrophys.J. 568 (2002) L67-L70","10.1086/340377",,"astro-ph gr-qc hep-ex hep-ph hep-th math-ph math.MP",,"  The starting point of this work is the axiomatic existence of a smallest
measurable interval, viz. the Planck time $t_P$, set by quantum fluctuations in
the vacuum metric tensor. By the Relativity Principle, the same limit must then
apply to the accuracy of all clocks which register time of events in their own
frames. Further, it implies that the ordinary meaning of distance also ceases
in the same manner beyond a scale l_P = c t_P. We demonstrate that quantum
space-time, if real, may be made manifest by observing very energetic
collisions, defined as interactions which occurred with the center-of-mass
frame $\Sigma'$ (of the participating bodies) moving at a high speed $v$
relative to our laboratory frame $\Sigma$. In such situations, the initial
conditions of the interaction are determined from direct measurements of the
ultra-energetic particles or photons by instruments aboard $\Sigma$: they
gather a raw dataset ${\cal S}$ which are subject to the limiting uncertainties
\~ (t_P, l_P). Yet a meaningful (i.e. experimentally verified) version of the
interaction is one where the interaction is viewed from frame $\Sigma'$. Since
no instruments aboard $\Sigma'$ have taken any data, the way we proceeded is by
a Lorentz transformation of ${\cal S}$ from $\Sigma$ to $\Sigma'$. Beware
however that the resulting ${\cal S'}$ no longer consists of raw data, i.e.
Lorentz distortions of probability distributions render the uncertainties
non-Planckian - in fact, it will be shown that as v -> c they are >> (t_P,
l_P), and are no longer negligible. Examples will given to indicate how a
proper interpretation of the most current high energy cosmic and gamma-ray data
necessitates incorporation of the said effect.
","[{""version"":""v1"",""created"":""Mon, 25 Feb 2002 20:18:08 GMT""},{""version"":""v2"",""created"":""Tue, 26 Feb 2002 02:55:04 GMT""}]","2009-11-07"
"cond-mat/0202466","Simona Cocco","S. Cocco, R. Monasson, J. Marko","Force and kinetic barriers in unzipping of DNA","Revtex file + 6 eps Figures; published in Proc. Natl. Acad. Sci. USA
  98, 8608 (2001)",,"10.1073/pnas.151257598",,"cond-mat.stat-mech q-bio",,"  A theory of the unzipping of double-stranded (ds) DNA is presented, and is
compared to recent micromanipulation experiments. It is shown that the
interactions which stabilize the double helix and the elastic rigidity of
single strands (ss) simply determine the sequence dependent =12 pN force
threshold for DNA strand separation. Using a semi-microscopic model of the
binding between nucleotide strands, we show that the greater rigidity of the
strands when formed into dsDNA, relative to that of isolated strands, gives
rise to a potential barrier to unzipping. The effects of this barrier are
derived analytically. The force to keep the extremities of the molecule at a
fixed distance, the kinetic rates for strand unpairing at fixed applied force,
and the rupture force as a function of loading rate are calculated. The
dependence of the kinetics and of the rupture force on molecule length is also
analyzed.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 10:15:13 GMT""}]","2009-11-07"
"cond-mat/0202467","Tatyana I. Baturina","Tatyana. I. Baturina, D. R. Islamov, and Z. D. Kvon","Subgap anomaly and above-energy-gap structure in chains of diffusive SNS
  junctions","RevTex, 5 pages, 4 figures","JETP Lett. 75, 326 (2002)","10.1134/1.1485261",,"cond-mat.supr-con",,"  We present the results of low-temperature transport measurements on chains of
superconductor--normal-constriction--superconductor (SNS) junctions fabricated
on the basis of superconducting PtSi film. A comparative study of the
properties of the chains, consisting of 3 and 20 SNS junctions in series, and
single SNS junctions reveals essential distinctions in the behavior of the
current-voltage characteristics of the systems: (i) the gradual decrease of the
effective suppression voltage for the excess conductivity observed at zero bias
as the quantity of the SNS junctions increases, (ii) a rich fine structure on
the dependences dV/dI-V at dc bias voltages higher than the superconducting gap
and corresponding to some multiples of 2\Delta/e. A model to explain this
above-energy-gap structure based on energy relaxation of electron via
Cooper-pair-breaking in superconducting island connecting normal metal
electrods is proposed.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 10:48:43 GMT""}]","2011-09-27"
"cond-mat/0202469","Pedro Patricio","P. Patricio, M.M. Telo da Gama, and S. Dietrich","Geometrically-controlled twist transitions in nematic cells",,,"10.1103/PhysRevLett.88.245502",,"cond-mat.soft",,"  We study geometrically-controlled twist transitions of a nematic confined
between a sinusoidal grating and a flat substrate. In these cells the
transition to the twisted state is driven by surface effects. We have
identified the mechanisms responsible for the transition analytically and used
exact numerical calculations to study the range of surface parameters where the
twist instability occurs. Close to these values the cell operates under minimal
external fields or temperature variations.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 11:23:41 GMT""}]","2009-11-07"
"cond-mat/0202470","Takaaki Sogo","T. Sogo, T. Miyakawa, T. Suzuki and H. Yabu","Random-phase approximation study of collective excitations in the
  Bose-Fermi mixed condensate of alkali-metal gases","28 pages, 13 figures, submitted to Phys. Rev. A",,"10.1103/PhysRevA.66.013618",,"cond-mat",,"  We perform Random Phase Approximation (RPA) study of collective excitations
in the bose-fermi mixed degenerate gas of Alkali-metal atoms at T=0. The
calculation is done by diagonalization in a model space composed of
particle-hole type excitations from the ground state, the latter being obtained
from the coupled Gross-Pitaevskii and Thomas-Fermi equations. We investigate
strength distributions for different combinations of bose and fermi multipole
($L$) operators with $L=0,1,2,3$. Transition densities and dynamical structure
factors are calculated for collective excitations. Comparison with the sum rule
prediction for the collective frequency is given. Time dependent behavior of
the system after an external impulse is studied.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 11:44:52 GMT""},{""version"":""v2"",""created"":""Wed, 27 Feb 2002 02:02:00 GMT""},{""version"":""v3"",""created"":""Thu, 2 May 2002 11:30:05 GMT""}]","2009-11-07"
"cond-mat/0202471","S. A. Tarasenko","S.A.Tarasenko and E.L.Ivchenko","Spin orientation of two-dimensional electron gas under intraband optical
  pumping","3 pages, 2 figures, Symposium ""Nanostructures: Physics and
  Technology"", St.Petersburg, Russia, 2002",,"10.1117/12.514460",,"cond-mat.mes-hall cond-mat.dis-nn",,"  The theory of spin orientation of two-dimensional (2D) electron gas has been
developed for intrasubband indirect optical transitions. The monopolar optical
orientation of electrons in the conduction band is caused by the indirect
scattering with virtual intermediate states in the valence band and allowance
for selection rules for interband transitions. The considered mechanism of
optical orientation is shown to be in an inherent relation with the special
Elliot-Yafet mechanism of electron spin relaxation induced by virtual interband
scattering.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 12:34:15 GMT""}]","2009-11-07"
"cond-mat/0202472","Awazu","A. Awazu","History-dependent Maximum Static Friction and Rectification of a System
  with a Few Particles in a Periodic Field","10 pages, 6 figures",,,,"cond-mat",,"  History-dependent maximum static friction is investigated using simple models
with two and three particles in one-dimensional periodic potentials. In some
situations, these systems possess two values of the maximum static friction,
with that actually realized being determined by the direction of the slippage
relative to the direction of the previous slippage. In particular, the maximum
static friction for slippage in a given direction is smaller when the previous
slippage was in the same direction than when it was in the opposite direction.
Owing to this property, a particle can continue to move in a direction even in
the case that it is subject to an external force whose direction change in time
as in a ratchet system which is regarded as one of the simplest model of
molecular motors.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 13:29:14 GMT""}]","2007-05-23"
"cond-mat/0202473","Enzo Marinari","Alain Billoire and Enzo Marinari","Overlap Among States at Different Temperatures in the SK Model","4 pages in aps format including 8 ps figures. Small changes","Europhys. Lett. 60, 775-781 (2002)","10.1209/epl/i2002-00375-2",,"cond-mat.dis-nn cond-mat.stat-mech",,"  We discuss the issue of temperature chaos in the Sherrington--Kirkpatrick
spin glass mean field model. We numerically compute probability distributions
of the overlap among (equilibrium) configurations at two different values of
the temperature, both in the spin glass phase. The situation on our medium size
systems is clearly non-chaotic, but a weak form of chaos could be emerging on
very large lattices.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 13:43:56 GMT""},{""version"":""v2"",""created"":""Fri, 4 Oct 2002 08:56:59 GMT""}]","2009-11-07"
"cond-mat/0202474","Andreas Lauchli","V. I. Anisimov, R. Hlubina, M. A. Korotin, V. V. Mazurenko, T. M.
  Rice, A. O. Shorikov, M. Sigrist","First-order transition between a small-gap semiconductor and a
  ferromagnetic metal in the isoelectronic alloys FeSi$_{1-x}$Ge$_x$","4 pages, 5 figures",,"10.1103/PhysRevLett.89.257203",,"cond-mat",,"  The contrasting groundstates of isoelectronic and isostructural FeSi and FeGe
can be explained within an extended local density approximation scheme (LDA+U)
by an appropriate choice of the onsite Coulomb repulsion, $U$ on the Fe-sites.
A minimal two-band model with interband interactions allows us to obtain a
phase diagram for the alloys FeSi$_{1-x}$Ge$_{x}$. Treating the model in a mean
field approximation, gives a first order transition between a small-gap
semiconductor and a ferromagnetic metal as a function of magnetic field,
temperature, and concentration, $x$. Unusually the transition from metal to
insulator is driven by broadening, not narrowing, the bands and it is the
metallic state that shows magnetic order.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 13:47:35 GMT""}]","2009-11-07"
"cond-mat/0202475","Edward McCann","Edward McCann, Vladimir I. Fal'ko","Magnetothermopower and magnon-assisted transport in ferromagnetic tunnel
  junctions","3 pages, 1 eps figure","Appl. Phys. Lett. 81, 3609 (2002)","10.1063/1.1519730",,"cond-mat.mes-hall",,"  We present a model of the thermopower in a mesoscopic tunnel junction between
two ferromagnetic metals based upon magnon-assisted tunneling processes. In our
model, the thermopower is generated in the course of thermal equilibration
between two baths of magnons, mediated by electrons. We predict a particularly
large thermopower effect in the case of a junction between two half-metallic
ferromagnets with antiparallel polarizations, $S_{AP} \sim - (k_B/e)$, in
contrast to $S_{P} \approx 0$ for a parallel configuration.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 13:53:27 GMT""}]","2009-11-07"
"cond-mat/0202477","Achod Andre Aradian","Achod Aradian, Elie Raphael, Pierre-Gilles de Gennes","A Scaling Theory of the Competition between Interdiffusion and
  Cross-Linking at Polymer Interfaces","19 pages, 5 figures. To appear in Macromolecules","Published in Macromolecules, vol. 35, pp. 4036-4043 (2002)","10.1021/ma011160d",,"cond-mat.soft cond-mat.mtrl-sci",,"  We study theoretically situations where competition arises between an
interdiffusion process and a cross-linking chemical reaction at interfaces
between pieces of the same polymer material. An example of such a situation is
observable in the formation of latex films, where, in the presence of a
cross-linking additive, colloidal polymer particles initially in suspension
come at contact as the solvent evaporates, and, optimally, coalesce into a
continuous coating. We considered the low cross-link density situation in a
previous paper (A. Aradian, E. Raphael, P.-G. de Gennes, Macromolecules 33,
9444 (2000)), and presented a simple control parameter that determines the
final state of the interface. In the present article, with the help of simple
scaling arguments, we extend our description to higher cross-link densities. We
provide predictions for the strength of the interface in different favorable
and unfavorable regimes, and discuss how it can be optimized.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 14:58:40 GMT""}]","2009-11-07"
"cond-mat/0202478","Robert J. Gooding","Saurabh Basu, A. Callan-Jones, and R.J. Gooding","Increasing Superconducting Tc's by a Factor of 1000 with StripeLike
  Hopping Anisotropies","8 pages (Revtex), 4 eps figures",,,,"cond-mat.supr-con cond-mat.str-el",,"  We have studied the enhancement of the superconducting transition
temperature, Tc, in a t-J-U model of electrons moving on a square lattice in
which anisotropic electronic hopping is introduced. The inclusion of such
hopping mimics, in a approximate fashion, a potentially important
characteristic of materials possessing stripelike charge and spin correlations.
For this model we have calculated Tc for singlet pairing using the non
self-consistent Thouless criterion, and find a dramatic enhancement of Tc
induced by hopping anisotropies. Further, the maximum increase in Tc is
obtained when the system is pushed towards the extreme anisotropy limit, that
is, when the hopping of electrons is confined to occur in 1+0^+ dimensions. We
demonstrate that in this limit the increase in Tc, with respect to the
isotropic system, can be of the order of 1000. We have also determined that in
the extreme anisotropy limit the superconducting gap is an equal mixture of s
and d pairing symmetries (two choices of such a combination being s + d and s +
id) owing to the reduced (square to rectangular) symmetry of the system in the
presence of hopping anisotropies. Thus, the presence of d-wave superconducting
features in materials whose symmetry is very different from that of a
two-dimensional square lattice, with the anisotropy produced by the appearance
of stripes, is not unexpected.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 15:06:45 GMT""}]","2007-05-23"
"cond-mat/0202479","Matteo Marsili","Matteo Marsili and Maurizio Piai","Colored minority games","15 pages, 3 figures",,"10.1016/S0378-4371(02)00800-2",,"cond-mat.stat-mech cond-mat.dis-nn q-fin.TR",,"  We study the behavior of simple models for financial markets with widely
spread frequency either in the trading activity of agents or in the occurrence
of basic events. The generic picture of a phase transition between information
efficient and inefficient markets still persists even when agents trade on
widely spread time-scales. We derive analytically the dependence of the
critical threshold on the distribution of time-scales. We also address the
issue of market efficiency as a function of frequency. In an inefficient market
we find that the size of arbitrage opportunities is inversely proportional to
the frequency of the events on which they occur. Greatest asymmetries in market
outcomes are concentrated on the most rare events. The practical limits of the
applications of these ideas to real markets are discussed in a specific
example.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 15:44:45 GMT""}]","2009-11-07"
"cond-mat/0202480","Alexander V. Kalameitsev","A.O. Govorov, C. Schulhauser, D. Haft, A.V. Kalameitsev, A. Chaplik,
  R.J. Warburton, K. Karrai, W. Schoenfeld, J.M. Garcia, P.M. Petroff","Magneto-optical properties of charged excitons in quantum dots","4 pages, 4 figures",,,,"cond-mat.str-el cond-mat.mes-hall",,"  We present both experimental and theoretical results on the influence of a
magnetic field on excitons in semiconductor quantum dots. We find a pronounced
difference between the strong and weak confinement regimes. For weak
confinement, the excitonic diamagnetic shift is strongly dependent on surplus
charge, corresponding to a reversal in sign of the conventional diamagnetic
shift for neutral excitons. In this limit, we argue that the optical properties
of excitons with two or more extra electrons are fundamentally different to
those of the neutral exciton and trion.
","[{""version"":""v1"",""created"":""Tue, 26 Feb 2002 15:54:05 GMT""}]","2007-05-23"
