"astro-ph/0211626",,"Daniela Carturan, Fabio Finelli","Cosmological Effects of a Class of Fluid Dark Energy Models","4 pages, 6 figures","Phys.Rev. D68 (2003) 103501","10.1103/PhysRevD.68.103501",,"astro-ph gr-qc hep-ph hep-th",,"  We study the impact of a generalized Chaplygin gas as a candidate for dark
energy on CMB anisotropies. The generalized Chaplygin gas is a fluid component
with an exotic equation of state, $p = - A/\rho^\alpha$ (a polytropic gas with
negative constant and exponent). Such component interpolates in time between
dust and a cosmological constant, with an intermediate behaviour as $p=\alpha
\rho$. Perturbations of this fluid are stable on small scales, but behave in a
very different way with respect to standard quintessence. Moreover, a
generalized Chaplygin gas could also represent an archetypal example of a
phenomenological unified models of dark energy and dark matter. The results
presented here show how the CMB anisotropies induced by this class of models
differ from a $\Lambda$CDM model.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 17:25:34 GMT""}]","2009-11-07"
"nucl-th/0211092","Marina Nielsen","Francisco O. Duraes, Hungchong Kim, Su Houng Lee, Fernando S. Navarra
  and Marina Nielsen","Progress in the determination of the $J/\psi-\pi$ cross section","22 pages, RevTeX4 including 7 figures in ps files","Phys.Rev. C68 (2003) 035208","10.1103/PhysRevC.68.035208",,"nucl-th hep-ph",,"  Improving previous calculations, we compute the $J/\psi \pi\to {charmed
mesons}$ cross section using QCD sum rules. Our sum rules for the $J/\psi
\pi\to \bar{D} D^*$, $D \bar{D}^*$, ${\bar D}^* D^*$ and ${\bar D} D$ hadronic
matrix elements are constructed by using vaccum-pion correlation functions, and
we work up to twist-4 in the soft-pion limit. Our results suggest that, using
meson exchange models is perfectly acceptable, provided that they include form
factors and that they respect chiral symmetry. After doing a thermal average we
get $<\sigma^{\pi J/\psi} v>\sim 0.3$ mb at $T=150\MeV$.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 18:20:01 GMT""}]","2009-11-07"
"nucl-th/0211093","Virgil Baran","V. Baran, M. Colonna, M. Di Toro and V. Greco","Isospin in fragment production","8 pages, 5 Postscript figures, talk at Cortona 2002 Conference,
  Oct.7-Oct.12, Italy, World Scientific (in press)",,"10.1142/9789812705143_0025",,"nucl-th",,"  Based on a general approach to binary systems we show that in the low density
region asymmetric nuclear matter (ANM) is unstable only against isoscalarlike
fluctuations. The physical meaning of the thermodynamical chemical and
mechanical instabilities is related to the inequality relations verified by the
strength of interaction among different components. Relevance of these results
in bulk and neck fragmentation is discussed.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 19:05:12 GMT""}]","2017-08-23"
"nucl-th/0211094","Agnes Mocsy","Agnes Mocsy","Dissipation near the QCD phase transition","4 pages, 4 figures, espcrc.sty, to be published in the proceedings
  PANIC02, Osaka, Japan, September 30 - October 4, 2002","Nucl.Phys. A721 (2003) 261-264","10.1016/S0375-9474(03)01045-5",,"nucl-th",,"  We set up a framework for field theoretical studies of systems out of thermal
equilibrium and zoom in on the dissipation of disoriented chiral condensates.
Short relaxation times are obtained in the phase transition region,
jeopardizing the definiteness of a DCC signal.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 20:39:04 GMT""}]","2009-11-07"
"nucl-th/0211095","Cheng-Pang Liu","C.-P. Liu (TRIUMF)","Nuclear Anapole Moments and the Parity-nonconserving Nuclear Interaction","5 pages, 1 figure, uses aipproc.cls. Proceedings of the 15th
  International Spin Physics Symposium",,"10.1063/1.1607140",,"nucl-th",,"  The anapole moment is a parity-odd and time-reversal-even electromagnetic
moment. Although it was conjectured shortly after the discovery of parity
nonconservation, its existence has not been confirmed until recently in heavy
nuclear systems, which are known to be the suitable laboratories because of the
many-body enhancement. By carefully identifying the nuclear-spin-dependent
atomic parity nonconserving effect, the first clear evidence was found in
cesium. In this talk, I will discuss how nuclear anapole moments are used to
constrain the parity-nonconserving nuclear force, a still less well-known
channel among weak interactions.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 22:39:26 GMT""}]","2009-11-07"
"nucl-th/0211096","Tetsufumi Hirano","Tetsufumi Hirano and Yasushi Nara","Energy loss of partons traversing a QGP fluid","4 pages, 2 figures, talk given at PaNic02, Osaka, Japan, September 30
  - October 4, 2002","Nucl.Phys. A721 (2003) 277-280","10.1016/S0375-9474(03)01049-2",,"nucl-th hep-ph nucl-ex",,"  We analyse the azimuthal correlation function for high p_T charged hadrons in
Au+Au collisions at the RHIC energy. By using a dynamical model in which
hydrodynamics is combined with explicit propagation of high p_T partons, we
study the effect of the intrinsic transverse momentum of initial partons on the
azimuthal back-to-back correlations.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 07:25:12 GMT""},{""version"":""v2"",""created"":""Thu, 5 Dec 2002 02:36:49 GMT""}]","2009-11-07"
"nucl-th/0211097","Luis Roca","L. Roca, E. Oset and M. J. Vicente Vacas","In medium sigma meson effects in two pion photoproduction in nuclei","Contribution to the XVIth International Conference on Particles and
  Nuclei (PANIC02), Osaka, Japan, 30 September 4 October 2002. 4 pages, 1
  figure","Nucl.Phys.A721:719-722,2003","10.1016/S0375-9474(03)01165-5",,"nucl-th",,"  We show theoretical results for $(\gamma, \pi^0 \pi^0)$ production on
nucleons and nuclei in the kinematical region where the scalar isoscalar $\pi
\pi$ amplitude is influenced by the $\sigma$ pole. The final state interaction
of the pions modified by the nuclear medium produces a spectacular shift of
strength of the two pion invariant mass distribution induced by the moving of
the $\sigma$ pole to lower masses and widths as the nuclear density increases.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 12:04:19 GMT""}]","2011-02-09"
"physics/0211118","Gunnar","E. Fretwurst (University of Hamburg), G. Lindstrom (University of
  Hamburg), I. Pintilie (NIMP Bucharest and University of Hamburg), J. Stahl
  (University of Hamburg)","Radiation Damage in Silicon Detectors Caused by Hadronic and
  Electromagnetic Irradiation","35 pages, 41 figures, To be published in Nuclear Instruments and
  Methods A",,,"DESY 02-199","physics.ins-det",,"  The report contains various aspects of radiation damage in silicon detectors
subjected to high intensity hadron and electromagnetic irradiation. It focuses
on improvements for the foreseen LHC applications, employing oxygenation of
silicon wafers during detector processing (result from CERN-RD48). An updated
survey on hadron induced damage is given in the first article. Several
improvements are outlined especially with respect to antiannealing problems
associated with detector storage during LHC maintenance periods. Open questions
are outlined in the final section, among which are a full understanding of
differences found between proton and neutron induced damage, process related
effects changing the radiation tolerance in addition to the oxygen content and
the lack of understanding the changed detector properties on the basis of
damage induced point and cluster defects. In addition to float zone silicon, so
far entirely used for detector fabrication,Czochralski silicon was also studied
and first promising results are shown. The other three papers deal with gamma
induced damage including also defects introduced either by processing steps or
being inherent to the as grown silicon. However the focus is on measurements
after gamma irradiation in a wide dose range. Both the changes in detector
properties and defect characterisations have been studied. For the first time
it is shown that in contrast to a standard process oxygenated silicon detectors
withstand an irradiation dose of up to 1 Grad with only minor deterioration.
Also it is shown for the first time that in this case the detector properties
can directly be explained by the damage induced point defects. This 1:1
correlation is extremely promising for all future defect engineering work.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 18:20:40 GMT""},{""version"":""v2"",""created"":""Mon, 2 Dec 2002 19:02:07 GMT""},{""version"":""v3"",""created"":""Wed, 4 Dec 2002 17:03:28 GMT""}]","2007-05-23"
"physics/0211119","Dmytro Babyuk","Dmytro Babyuk","Some Aspects of Dynamical Tunneling in Two Dimensional Coupled States","4 pages, 6 figures",,,,"physics.chem-ph",,"  Process of dynamical tunneling in two-dimensional coupled potentials is
considered within Bohmian approach to quantum mechanics. Quantum trajectories
tend to go along the paths where potential energy increases and then decreases.
It leads to a suggestion that dynamical and barrier tunneling are the same
processes but the former is hidden due to specific potential surface.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 20:53:50 GMT""}]","2007-05-23"
"physics/0211120","Paulo Fonte","A.Blanco, P.Fonte, L.Lopes, A.Mangiarotti, R. Ferreira-Marques, A.
  Policarpo","Resistive plate chambers for time-of-flight measurements","Presented at ""PSD6 - 6th International Conference on Position
  Sensitive Detectors"", 9-13 September 2002, Leicester, UK. Submitted to
  Nuclear Instruments and Methods A","Nucl.Instrum.Meth. A513 (2003) 8-12","10.1016/S0168-9002(03)02126-0","LIP/02-04","physics.ins-det hep-ex",,"  The applications of Resistive Plate Chambers (RPCs) have recently been
extended by the development of counters with time resolution below 100 ps sigma
for minimum ionising particles. Applications to HEP experiments have already
taken place and many further applications are under study. In this work we
address the operating principles of such counters along with some present
challenges, with emphasis on counter aging.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 10:33:44 GMT""}]","2009-11-07"
"physics/0211121","Christoph Renner","Ch. Renner, J. Peinke, R. Friedrich","On the interaction between velocity increment and energy dissipation in
  the turbulent cascade","Changement of the list of authors, 18 pages, 11 figures",,,,"physics.flu-dyn",,"  We adress the problem of interactions between the longitudinal velocity
increment and the energy dissipation rate in fully developed turbulence. The
coupling between these two quantities is experimentally investigated by the
theory of stochastic Markovian processes. The so-called Markov analysis allows
for a precise characterization of the joint statistical properties of velocity
increment and energy dissipation. In particular, it is possible to determine
the differential equation that governs the evolution along scales of the joint
probability density of these two quantities. The properties of this equation
provide interesting new insights into the coupling between energy dissipation
and velocity incrementas leading to small scale intermittency.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 13:51:30 GMT""},{""version"":""v2"",""created"":""Fri, 6 Dec 2002 17:09:38 GMT""}]","2007-05-23"
"quant-ph/0211193","Alexandre Grezzi de Miranda Schmidt","Alexandre G. M. Schmidt, Bin Kang Cheng, Marcos G. E. da Luz","Green functions for generalized point interactions in 1D: A scattering
  approach","Revtex, 9 pages, 3 EPS figures. To be published in PRA",,"10.1103/PhysRevA.66.062712",,"quant-ph",,"  Recently, general point interactions in one dimension has been used to model
a large number of different phenomena in quantum mechanics. Such potentials,
however, requires some sort of regularization to lead to meaningful results.
The usual ways to do so rely on technicalities which may hide important
physical aspects of the problem. In this work we present a new method to
calculate the exact Green functions for general point interactions in 1D. Our
approach differs from previous ones because it is based only on physical
quantities, namely, the scattering coefficients, $R$ and $T$, to construct $G$.
Renormalization or particular mathematical prescriptions are not invoked. The
simple formulation of the method makes it easy to extend to more general
contexts, such as for lattices of $N$ general point interactions; on a line; on
a half-line; under periodic boundary conditions; and confined in a box.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 16:05:18 GMT""}]","2009-11-07"
"quant-ph/0211194","Claudio Altafini","C. Altafini","Controllability properties for finite dimensional quantum Markovian
  master equations","15 pages","J. Math. Phys., 44(6):2357-2372, 2003","10.1063/1.1571221",,"quant-ph",,"  Various notions from geometric control theory are used to characterize the
behavior of the Markovian master equation for N-level quantum mechanical
systems driven by unitary control and to describe the structure of the sets of
reachable states. It is shown that the system can be accessible but neither
small-time controllable nor controllable in finite time. In particular, if the
generators of quantum dynamical semigroups are unital, then the reachable sets
admit easy characterizations as they monotonically grow in time. The two level
case is treated in detail.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 17:33:11 GMT""}]","2009-11-07"
"quant-ph/0211195","Gabriela Murguia","G. Murguia and M. Moreno","Classical limit for the scattering of Dirac particles in a magnetic
  field",,"J.Phys.A36:2545-2554,2003","10.1088/0305-4470/36/10/314",,"quant-ph hep-th",,"  We present a relativistic quantum calculation at first order in perturbation
theory of the differential cross section for a Dirac particle scattered by a
solenoidal magnetic field. The resulting cross section is symmetric in the
scattering angle as those obtained by Aharonov and Bohm (AB) in the string
limit and by Landau and Lifshitz (LL) for the non relativistic case. We show
that taking pr_0\|sin(\theta/2)|/\hbar<<1 in our expression of the differential
cross section it reduces to the one reported by AB, and if additionally we
assume \theta << 1 our result becomes the one obtained by LL. However, these
limits are explicitly singular in \hbar as opposed to our initial result. We
analyze the singular behavior in \hbar and show that the perturbative Planck's
limit (\hbar -> 0) is consistent, contrarily to those of the AB and LL
expressions. We also discuss the scattering in a uniform and constant magnetic
field, which resembles some features of QCD.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 02:29:54 GMT""}]","2016-09-08"
"quant-ph/0211196","Sabrina Maniscalco","F. Intravaia, S. Maniscalco, A. Messina","Density matrix operatorial solution of the non--Markovian Master
  Equation for Quantum Brownian Motion","16 pages, 1 figure","Phys. Rev. A 67, 042108 (2003)","10.1103/PhysRevA.67.042108",,"quant-ph",,"  An original method to exactly solve the non-Markovian Master Equation
describing the interaction of a single harmonic oscillator with a quantum
environment in the weak coupling limit is reported. By using a superoperatorial
approach we succeed in deriving the operatorial solution for the density matrix
of the system. Our method is independent of the physical properties of the
environment. We show the usefulness of our solution deriving explicit
expressions for the dissipative time evolution of some observables of physical
interest for the system, such as, for example, its mean energy.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 08:03:51 GMT""}]","2009-11-07"
"quant-ph/0211197","I. Rotter","I. Rotter","Exceptional points and double poles of the S matrix","9 pages, no figures",,"10.1103/PhysRevE.67.026204",,"quant-ph",,"  Exceptional points and double poles of the S matrix are both characterized by
the coalescence of a pair of eigenvalues. In the first case, the coalescence
causes a defect of the Hilbert space. In the second case, this is not so as
shown in prevoius papers. Mathematically, the reason for this difference is the
bi-orthogonality of the eigenfunctions of a non-Hermitian operator that is
ignored in the first case. The consequences for the topological structure of
the Hilbert space are studied and compared with existing experimental data.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 13:13:49 GMT""}]","2016-09-08"
"quant-ph/0211198","Thomas David Voice","Y. Suhov and T. Voice","Entanglement For Ideal Quantum Ensembles","paper withdrawn",,,,"quant-ph",,"  This paper has been withdrawn by the authors, due to the discovery of paper
0201028 which predates it and contains most of it's results.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 12:52:58 GMT""},{""version"":""v2"",""created"":""Sat, 11 Jan 2003 13:38:14 GMT""},{""version"":""v3"",""created"":""Tue, 14 Jan 2003 13:31:45 GMT""},{""version"":""v4"",""created"":""Thu, 13 Feb 2003 16:43:34 GMT""},{""version"":""v5"",""created"":""Fri, 14 Feb 2003 15:01:42 GMT""}]","2007-05-23"
"quant-ph/0211199","Antoni Wojcik","Antoni Wojcik","Eavesdropping on the ""ping-pong"" quantum communication protocol",,"Phys. Rev. Lett. 90 (2003) 157901","10.1103/PhysRevLett.90.157901",,"quant-ph",,"  The proposed eavesdropping scheme reveals that the quantum communication
protocol recently presented by Bostrom and Felbinger [Phys. Rev. Lett. 89,
187902 (2002)] is not secure as far as quantum channel losses are taken into
account.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 15:43:31 GMT""}]","2009-11-07"
