"astro-ph/0210512","Todor Stanev","T.K. Gaisser & Todor Stanev","Charge ratio of muons from atmospheric neutrinos","6 pages, 4 figures, to be submitted to Physics Letters","Phys.Lett.B561:125-129,2003","10.1016/S0370-2693(03)00389-7","BA-02-37","astro-ph hep-ph",,"  We calculate the intensities and angular distributions of positive and
negative muons produced by atmospheric neutrinos. We comment on some sources of
uncertainty in the charge ratio. We also draw attention to a potentially
interesting signature of neutrino oscillations in the muon charge ratio, and we
discuss the prospects for its observation (which are not quite within the reach
of currently planned magnetized detectors).
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 19:36:42 GMT""}]","2011-05-12"
"nucl-th/0210065","Stepan G. Mashnik","S. G. Mashnik, K. K. Gudima, I. V. Moskalenko, R. E. Prael, and A. J.
  Sierk","CEM2k and LAQGSM as Event Generators for Space-Radiation-Shielding and
  Cosmic-Ray-Propagation Applications","10 pages, 9 figures, LaTeX, talk given at the World Space Congress
  2002, 34th COSPAR Scientific Assembly, Houston, Texas, USA, 10-19 October
  2002, to appear in Advances in Space Research","Adv. Space Res. 34 (2004) 1288-1296","10.1016/j.asr.2003.08.057","LA-UR-02-6558","nucl-th astro-ph nucl-ex",,"  The CEM2k and LAQGSM codes have been recently developed at Los Alamos
National Laboratory to simulate nuclear reactions for a number of applications.
We have benchmarked our codes against most available measured data at incident
particle energies from 10 MeV to 800 GeV and have compared our results with
predictions of other current models used by the nuclear community. Here, we
present a brief description of our codes and show illustrative results to show
that CEM2k and LAQGSM can be used as reliable event generators for
space-radiation-shielding, cosmic-ray-propagation, and other astrophysical
applications. Finally, we show the use of our calculated cross sections
together with experimental data from our LANL T-16 compilation to produce
evaluated files which we use in the GALPROP model of galactic particle
propagation to better constrain the size of the CR halo.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 16:57:58 GMT""},{""version"":""v2"",""created"":""Wed, 30 Oct 2002 02:50:03 GMT""}]","2009-11-07"
"nucl-th/0210070","Volker Koch","V. Koch","Some remarks on the statistical model of heavy ion collisions","Proceedings, Quark Matter 2002, Nantes, France","Nucl.Phys. A715 (2003) 108-117","10.1016/S0375-9474(02)01419-7",,"nucl-th nucl-ex",,"  This contribution is an attempt to assess what can be learned from the
remarkable success of the statistical model in describing ratios of particle
abundances in ultra-relativistic heavy ion collisions.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 19:10:50 GMT""}]","2016-09-08"
"nucl-th/0210071","Alexander Prokofiev","A. V. Prokofiev, S. G. Mashnik and W. B. Wilson","Systematics of Proton-Induced Fission Cross Sections for Intermediate
  Energy Applications","7 pages, 3 figures, to be published in Nucl. Sci. Eng",,,"LANL Report LA-UR-02-5837 (2002)","nucl-th",,"  The recent systematics of proton-induced fission cross sections is extended
to a wider range of target nuclei and incident energies. Reasonable agreement
with available experimental data is demonstrated. The extended systematics is
employed to generate a data library for use in the CINDER'90 transmutation
inventory code.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 22:53:22 GMT""}]","2007-05-23"
"nucl-th/0210072","Alberto Dellafiore","V.I.Abrosimov (1), A.Dellafiore (2) and F.Matera (2) ((1) Institute
  for Nuclear Research, Kiev, Ukraine, (2) INFN and Dipartimento di Fisica,
  Universita' di Firenze, Italy)","Effects of surface vibrations on quadrupole response of nuclei","Appendix added, version to be published in Nucl. Phys. A","Nucl.Phys. A717 (2003) 44-52","10.1016/S0375-9474(03)00611-0",,"nucl-th",,"  The effect of quadrupole-type surface vibrations on the quadrupole response
function of heavy nuclei is studied by using a model based on the solution of
the linearized Vlasov equation with moving-surface boundary conditions. By
using a separable approximation for the residual interaction, an analytical
expression is obtained for the moving-surface response function. Comparison of
the fixed- and moving-surface strength functions shows that surface vibrations
are essential in order to achieve a unified description of the two
characteristic features of the quadrupole response: the giant resonance and the
low-lying states. Calculations performed by setting the surface tension equal
to zero shows that the low-lying strength is strongly affected by the surface
tension.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 10:55:49 GMT""},{""version"":""v2"",""created"":""Fri, 7 Feb 2003 10:58:18 GMT""}]","2009-11-07"
"physics/0210093","Bruce Hoeneisen","Bruce Hoeneisen","A model of memory, learning and recognition","10 pages, 6 figures",,,"USFQ-33-2002","physics.bio-ph q-bio",,"  We propose a simple model of recognition, short-term memory, long-term memory
and learning.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 19:01:41 GMT""}]","2007-05-23"
"physics/0210095","Bruce Hoeneisen","E. X. Alban and B. Hoeneisen","Global warming: What does the data tell us?","9 pages, 12 figures",,,"USFQ-30-2002","physics.ao-ph",,"  We analyze global surface temperature data obtained at 13472 weather stations
from the year 1702 to 1990. The mean annual temperature of a station fluctuates
from year to year by typically +-0.6oC (one standard deviation). Superimposed
on this fluctuation is a linear increase of the temperature by typically 0.40oC
per century ever since reliable data is available, i.e. since 1702. The world
population has doubled from 1952 to 1990, yet we see no statistically
significant acceleration of global warming in this period. We conclude that the
effect of humankind on global warming up to 1990 is 0.0 +- 0.1oC.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 17:27:43 GMT""}]","2007-05-23"
"physics/0210097","Robert Golub","R. Golub, W. M. Snow","An investigation into a half page from Newton's Principia in the wake of
  Chandra","Replacements to improve location of figure",,,,"physics.hist-ph physics.ed-ph",,"  There is a section in Chandrashekar's ''Newton's Principia for the Common
Reader '', (Clarendon Press, Oxford, 1995) in which he claims to find a small
error in the Principia. . However we believe that there is a mistake of
interpretation underlying Chandra's claim and that the Principia is correct as
it stands. This short paper describes Chandra's misinterpretation of a
geometric construction of Newton and gives an outline of Newton's demonstration
by following the standard English version of the Principia line by line and
converting it into modern mathematical notation in the spirit of Chandra's
book.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 17:07:33 GMT""},{""version"":""v2"",""created"":""Thu, 24 Oct 2002 09:14:51 GMT""}]","2007-05-23"
"physics/0210098","Kent R. Thurber","Kent R. Thurber, Lee E. Harrell, Doran D. Smith","Temperature measurement at the end of a cantilever using oxygen
  paramagnetism in solid air","Submitted to J of Applied Physics","J. Appl. Phys. 93, 4297 (2003)","10.1063/1.1555837",,"physics.ins-det",,"  We demonstrate temperature measurement of a sample attached to the end of a
cantilever using cantilever magnetometry of solid air ``contamination'' of the
sample surface. In experiments like our Magnetic Resonance Force Microscopy
(MRFM), the sample is mounted at the end of a thin cantilever with small
thermal conductance. Thus, the sample can be at a significantly different
temperature than the bulk of the instrument. Using cantilever magnetometry of
the oxygen paramagnetism in solid air provides the temperature of the sample,
without any modifications to our MRFM (Magnetic Resonance Force Microscopy)
apparatus.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 22:47:07 GMT""}]","2009-11-07"
"physics/0210099","Kent R. Thurber","Kent R. Thurber, Lee E. Harrell, Doran D. Smith","170 Nanometer Nuclear Magnetic Resonance Imaging using Magnetic
  Resonance Force Microscopy","Submitted to J of Magnetic Resonance","J. Mag. Reson. 162, 336 (2003)","10.1016/S1090-7807(03)00040-5",,"physics.ins-det cond-mat.mes-hall",,"  We demonstrate one-dimensional nuclear magnetic resonance imaging of the
semiconductor GaAs with 170 nanometer slice separation and resolve two regions
of reduced nuclear spin polarization density separated by only 500 nanometers.
This is achieved by force detection of the magnetic resonance, Magnetic
Resonance Force Microscopy (MRFM), in combination with optical pumping to
increase the nuclear spin polarization. Optical pumping of the GaAs creates
spin polarization up to 12 times larger than the thermal nuclear spin
polarization at 5 K and 4 T. The experiment is sensitive to sample volumes
containing $\sim 4 \times 10^{11}$ $^{71}$Ga$/\sqrt{Hz}$. These results
demonstrate the ability of force-detected magnetic resonance to apply magnetic
resonance imaging to semiconductor devices and other nanostructures.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 21:59:28 GMT""}]","2009-11-07"
"physics/0210100","Mei Xiaochun","Mei Xiaochun","Retarded Electromagnetic Interaction and Dynamic Foundation of Classical
  Statistical Mechanics and Elimination of Reversibility Paradox of Time
  reversal","latex,22 pages",,,,"physics.gen-ph",,"  It is proved in the paper that the non-conservative dissipative force and
asymmetry of time reversal can be naturally introduced into classical
statistical mechanics after retarded electromagnetic interaction between
charged microparticles is considered. In this way, the rational dynamic
foundation for classical statistical physics can established and the revised
Liouville equation is obtained. The micro-canonical ensemble, the canonical
ensemble, the distribution of near-independent subsystem, the distribution law
of the Maxwell- Boltzmann and the Maxwell distribution of velocities are
achieved directly from the Liouville equation without using the hypothesis of
equal probability. The micro-canonical ensemble is considered unsuitable as the
foundation of equivalent state theory again, for most of equivalent states of
isolated systems are not the states with equal probabilities actually. The
reversibility paradoxes in the processes of non-equivalent evolutions of
macro-systems can be eliminated completely, and the united description of
statistical mechanics of equivalent and nonequivalent states is reached. The
revised BBKGY series equations and hydromechanics equations are reduced, the
non-equivalent entropy of general systems is defined and the principle of
entropy increment of the non-equivalent entropy is proved at last.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 00:38:46 GMT""},{""version"":""v2"",""created"":""Mon, 13 Jan 2003 06:32:35 GMT""},{""version"":""v3"",""created"":""Tue, 14 Jan 2003 02:38:15 GMT""}]","2007-05-23"
"physics/0210101","Jens Eggers","Jens Eggers and Howard A. Stone","Characteristic lengths at moving contact lines for a perfectly wetting
  fluid: the influence of speed on the dynamic contact angle",,,,,"physics.flu-dyn",,"  It is common to relate the dynamic contact angle $\theta_d$ to the relative
speed between the substrate and the contact line; theory suggests $\theta_d^3
\propto U$. In fact, available physical models show that the dynamic angle
involves speed logarithmically and in a model dependent manner. Experimental
data consistent with this interpretation is cited.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 13:15:53 GMT""}]","2007-05-23"
"physics/0210102","Vladimir Solovov","V.N. Solovov, F. Neves, V. Chepel, M.I. Lopes, R.F. Marques and
  A.J.P.L. Policarpo","Low Temperature Performance of a Large Area Avalanche Photodiode","16 pages, 7 figures; was presented at 3-rd conference ""New
  Developments in Photodetection"" Beaune, France, June 17-21, 2002; submitted
  to NIM",,"10.1016/S0168-9002(03)00751-4",,"physics.ins-det",,"  A Large Area Avalanche Photodiode (LAAPD) was studied, aiming to access its
performance as light detector at low temperatures, down to -80 C. The excess
noise factor, F, was measured and found to be approximately independent of the
temperature. A linear dependence of F on the APD gain with a slope of 0.00239
+/- 0.00008 was observed for gains above 100. The detection of low intensity
light pulses, producing only a few primary electron-hole pairs in the
photodiode, is reported.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 14:24:00 GMT""}]","2009-11-07"
"quant-ph/0210161","Todd Brun","Todd A. Brun (IAS), Hilary A. Carteret (UWaterloo) and Andris Ambainis
  (IAS)","Quantum Walks driven by many coins","36 pages RevTeX 4.0 + 5 figures (encapsulated Postscript). Submitted
  to Physical Review A","Phys. Rev. A 67, 052317 (2003).","10.1103/PhysRevA.67.052317",,"quant-ph",,"  Quantum random walks have been much studied recently, largely due to their
highly nonclassical behavior. In this paper, we study one possible route to
classical behavior for the discrete quantum random walk on the line: the use of
multiple quantum ``coins'' in order to diminish the effects of interference
between paths. We find solutions to this system in terms of the single coin
random walk, and compare the asymptotic limit of these solutions to numerical
simulations. We find exact analytical expressions for the time-dependence of
the first two moments, and show that in the long time limit the ``quantum
mechanical'' behavior of the one-coin walk persists. We further show that this
is generic for a very broad class of possible walks, and that this behavior
disappears only in the limit of a new coin for every step of the walk.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 18:32:47 GMT""}]","2009-11-07"
"quant-ph/0210162","Liliana Sanz","L. Sanz, R.M. Angelo and K. Furuya","Reversible entanglement in a Kerr-like interaction Hamiltonian: an
  integrable model","8 pages, 7 figures",,,,"quant-ph",,"  An exactly soluble non-linear interaction Hamiltonian is proposed to study
fundamental properties of the entanglement dynamics for a coupled non-linear
oscillators. The time-evolved state is obtained analytically for initial
products of two coherent and two number states and relevant informations are
extracted from the dynamics of various quantities like subsystem linear and Von
Neumann entropies, quadrature mean values, variances and Q-functions. We
determined the re-coherence time scales and found among the interaction terms
present in the Hamiltonian the one responsible for the entanglement in both
cases. We identify the existence of two regimens for the entanglement dynamics
in the case of initially coherent states: the short time, phase spread regimen
where the entropy rises monotonically and the self-interference regimen where
the entropy oscillates and re-coherence phenomenon can be observed. We also
found that the break time from the first regimen to the second one becomes
longer, as well as the re-coherence and reversibility times, as the Planck's
constant becomes much smaller than a typical action in phase space.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 18:11:10 GMT""}]","2007-05-23"
"quant-ph/0210163","Pawel Horodecki","Pawel Horodecki","Mean of continuous variables observable {\it via} measurement on single
  qubit","4 pages, RevTeX",,"10.1103/PhysRevA.67.060101",,"quant-ph",,"  It is shown that mean value of any observable with bounded spectrum can be
uniquely determined from binary statistics of the measurement performed on {\it
single} qubit ancilla coupled to a given system. The observable structure is
fully encoded in the corresponding POVM. The method is generalised to the case
of distant labs paradigm and discussed in the context of entanglement detection
with few local measurements. The results are also discussed in the context of
quantum programming.
","[{""version"":""v1"",""created"":""Wed, 23 Oct 2002 20:42:33 GMT""}]","2009-11-07"
"quant-ph/0210164","Anthony John Bracken","A.J. Bracken","Quantum Mechanics as an Approximation to Classical Mechanics in Hilbert
  Space","10 pages, Latex2e file, references added, minor clarifications made","J. Phys. A 36 (2003), L329-L335",,,"quant-ph",,"  Classical mechanics is formulated in complex Hilbert space with the
introduction of a commutative product of operators, an antisymmetric bracket,
and a quasidensity operator. These are analogues of the star product, the Moyal
bracket, and the Wigner function in the phase space formulation of quantum
mechanics. Classical mechanics can now be viewed as a deformation of quantum
mechanics. The forms of semiquantum approximations to classical mechanics are
indicated.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 04:42:13 GMT""},{""version"":""v2"",""created"":""Wed, 26 Feb 2003 06:14:49 GMT""}]","2017-02-23"
"quant-ph/0210165","Yu-Xi Liu","Yu-xi Liu, N. Imoto, S. K. Ozdemir, Guang-ri Jin, and C. P. Sun","Semiconductor-cavity QED in high-Q regimes: Detuning effect","7 pages, 8 figures","Phys. Rev. A65, 023805(2002)","10.1103/PhysRevA.65.023805",,"quant-ph",,"  The non-resonant interaction between the high-density excitons in a quantum
well and a single mode cavity field is investigated. An analytical expression
for the physical spectrum of the excitons is obtained. The spectral properties
of the excitons, which are initially prepared in the number states or the
superposed states of the two different number states by the resonant
femtosecond pulse pumping experiment, are studied. Numerical study of the
physical spectrum is carried out and a discussion of the detuning effect is
presented.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 06:58:14 GMT""}]","2009-11-07"
"quant-ph/0210166","Kazuyuki Fujii","Kazuyuki Fujii (Yokohama City Univ.)","N-Level System Interacting with Single Radiation Mode and Multi Cat
  States of Schrodinger in the Strong Coupling Regime","Latex file, 29 pages; new section (Unitary Operations in Quantum
  Computation) added and some references added",,,,"quant-ph cond-mat math-ph math.MP",,"  In this paper we consider some (generalized) models which deal with n--level
atom interacting with a single radiation mode and study a general structure of
Rabi floppings of these generalized ones in the strong coupling regime.
  To solve these models we introduce multi cat states of Schr{\"" o}dinger in
our terminology and extend the result in (quant--ph/0203135) which Rabi
frequencies are given by matrix elements of generalized coherent operators
(quant--ph/0202081) under the rotating--wave approximation. Our work is a full
generalization of Frasca (quant--ph/0111134) and Fujii (quant--ph/0203135).
  In last we make a brief comment on an application to Quantum Computation on
the space of qudits.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 07:50:01 GMT""},{""version"":""v2"",""created"":""Sat, 14 Dec 2002 01:51:44 GMT""}]","2007-05-23"
"quant-ph/0210167","R. de la Madrid","R. de la Madrid","The Rigged Hilbert Space of the Free Hamiltonian","18 pages. Invited, refereed contribution to the Jaca proceedings; v2:
  minor, cosmetic changes","Int. J. Theor. Phys. 42 (2003) 2441-2460","10.1023/B:IJTP.0000005968.76452.6b",,"quant-ph hep-th math-ph math.MP",,"  We explicitly construct the Rigged Hilbert Space (RHS) of the free
Hamiltonian $H_0$. The construction of the RHS of $H_0$ provides yet another
opportunity to see that when continuous spectrum is present, the solutions of
the Schrodinger equation lie in a RHS rather than just in a Hilbert space.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 09:23:37 GMT""},{""version"":""v2"",""created"":""Mon, 31 May 2004 09:23:50 GMT""}]","2009-11-07"
"quant-ph/0210168","Heng Fan","Heng Fan","A note on separability criteria for multipartite state","Revtex, 3 pages",,,,"quant-ph",,"  The recent proposed realignment separability criterion for mixed is analyzed.
We identify the essential part of this criterion is a swap operator followed by
a partial transposition. Then we analyze the separability criterion of
permutation indices of the density matrix for multipartite state which is a
generalization of the realignment criterion. We give a method to solve the
equivalence problem of the separability criterion of permutation indices of the
density matrix. For tripartite state, we show the non-trivial separability
criteria are either partial transposition criterion or realignment criterion.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 12:31:55 GMT""}]","2007-05-23"
"quant-ph/0210169","Heng Fan","Heng Fan","Additivity of entanglement of formation for some special cases","Revtex, 8 pages",,,,"quant-ph",,"  The proof of additivity of entanglement of formation for some special cases
is given. The strong concavity of von Neumann entropy due to strong
subadditivity of von Neumann entropy is presented. Some general relations
concerning about the entanglement of formation are proposed.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 12:34:22 GMT""}]","2007-05-23"
"quant-ph/0210170","Paul Martijn Visser","P.M. Visser, K. Allaart and D. Lenstra","Entangled Photons from Small Quantum Dots","10 pages, 8 figures",,"10.1103/PhysRevA.68.053805","VUTH 02-21","quant-ph",,"  We discuss level schemes of small quantum-dot turnstiles and their
applicability in the production of entanglement in two-photon emission. Due to
the large energy splitting of the single-electron levels, only one single
electron level and one single hole level can be made resonant with the levels
in the conduction band and valence band. This results in a model with nine
distinct levels, which are split by the Coulomb interactions. We show that the
optical selection rules are different for flat and tall cylindrically symmetric
dots, and how this affects the quality of the entanglement generated in the
decay of the biexciton state. The effect of charge carrier tunneling and of a
resonant cavity is included in the model.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 12:57:35 GMT""}]","2009-11-07"
"quant-ph/0210171","Paul Martijn Visser","P.M. Visser, K. Allaart and D. Lenstra","Bound Modes in Dielectric Microcavities","5 pages, 3 figures",,"10.1016/S0030-4018(02)02238-1","VUTH 02-22","quant-ph",,"  We demonstrate how exactly bound cavity modes can be realized in dielectric
structures other than 3d photonic crystals. For a microcavity consisting of
crossed anisotropic layers, we derive the cavity resonance frequencies, and
spontaneous emission rates. For a dielectric structure with dissipative loss
and central layer with gain, the beta factor of direct spontaneous emission
into a cavity mode and the laser threshold is calculated.
","[{""version"":""v1"",""created"":""Thu, 24 Oct 2002 13:35:11 GMT""}]","2009-11-07"
