"astro-ph/0210184","Agnieszka Jacholkowska","A. Falvard, E. Giraud, A. Jacholkowska, J. Lavalle, E. Nuss, F. Piron,
  M. Sapinski (GAM-Montpellier), P. Salati, R. Taillet (LAPTH-Annecy), K.
  Jedamzik, G. Moultaka (LPMT-Montpellier)","Supersymmetric dark matter in M31: can one see neutralino annihilation
  with CELESTE?","Latex, 32 pages, 12 figures, 5 tables","Astropart.Phys. 20 (2004) 467-484","10.1016/j.astropartphys.2003.07.001","GAM-2002/03, LAPTH-937, PM/02-03","astro-ph hep-ph",,"  It is widely believed that dark matter exists within galaxies and clusters of
galaxies. Under the assumption that this dark matter is composed of the
lightest, stable supersymmetric particle, assumed to be the neutralino, the
feasibility of its indirect detection via observations of a diffuse gamma-ray
signal due to neutralino annihilations within M31 is examined. To this end,
first the dark matter halo of the close spiral galaxy M31 is modeled from
observations, then the resultant gamma-ray flux is estimated within
supersymmetric model configurations. We conclude that under favorable
conditions such as the rapid accretion of neutralinos on the central black hole
in M31 and/or the presence of many clumps inside its halo with $r^{-3/2}$ inner
profiles, a neutralino annihilation gamma-ray signal is marginally detectable
by the ongoing collaboration CELESTE.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:14:22 GMT""}]","2015-06-24"
"math/0210137","Margit Roesler","Margit R\""osler","A positive radial product formula for the Dunkl kernel","25 pages",,,,"math.CA math.RT",,"  It is an open conjecture that generalized Bessel functions associated with
root systems have a positive product formula for non-negative multiplicity
parameters of the associated Dunkl operators. In this paper, a partial result
towards this conjecture is proven, namely a positive radial product formula for
the non-symmetric counterpart of the generalized Bessel function, the Dunkl
kernel. Radial hereby means that one of the factors in the product formula is
replaced by its mean over a sphere. The key to this product formula is a
positivity result for the Dunkl-type spherical mean operator. It can also be
interpreted in the sense that the Dunkl-type generalized translation of radial
functions is positivity-preserving. As an application, we construct Dunkl-type
homogeneous Markov processes associated with radial probability distributions.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 15:41:47 GMT""}]","2007-05-23"
"math/0210138","H. Esnault","Spencer Bloch, H\'el\`ene Esnault","The additive dilogarithm","28 pages",,,,"math.AG",,"  We define an additive version of the Bloch group of a field, together with an
additive dilogarithm and an Artin-Schreier realization.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 15:49:37 GMT""}]","2007-05-23"
"nlin/0210014","Antonio Sarmiento","J. R. Castrejon-Pita, A. Sarmiento Galan, and R. Castrejon-Garcia","Fractal dimension and self-similarity in Asparagus plumosus","5 pages, 7 figures, to appear in Fractals",,,,"nlin.AO q-bio.QM",,"  We measure the fractal dimension of an African plant that is widely
cultivated as ornamental, the Asparagus plumosus. This plant presents
self-similarity, remarkable in at least two different scalings. In the
following, we present the results obtained by analyzing this plant via the box
counting method for three different scalings. We show in a quantitatively way
that this species is a fractal.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 20:32:56 GMT""}]","2007-05-23"
"nlin/0210015","Antonio Sarmiento","R. Castrejon Garcia, A. Sarmiento Galan, J. R. Castrejon Pita, and A.
  A. Castrejon Pita","The Fractal Dimension of an Oil Spray","8 pages, 7 figures, to appear in Fractals",,,,"nlin.AO",,"  We study the fractal dimension of the contour of the liquid-gas interface in
a spray. Our images include both, the linking region and the break-up region
and are obtained with a high-resolution shadowgraph technique; this means that
the images can then be subject to an intensity filtering, equivalent to a
threshold analysis, that enables the establishment of the fractal range.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 20:39:52 GMT""}]","2007-05-23"
"nlin/0210016","Leonid Ryzhik","G. Bal, T. Komorowski and L. Ryzhik","Self-averaging of Wigner transforms in random media",,,"10.1007/s00220-003-0937-y",,"nlin.CD",,"  We establish the self-averaging properties of the Wigner transform of a
mixture of states in the regime when the correlation length of the random
medium is much longer than the wave length but much shorter than the
propagation distance. The main ingredients in the proof are the error estimates
for the semiclassical approximation of the Wigner transform by the solution of
the Liouville equations, and the limit theorem for two-particle motion along
the characteristics of the Liouville equations. The results are applied to a
mathematical model of the time-reversal experiments for the acoustic waves, and
self-averaging properties of the re-transmitted wave are proved.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 22:16:55 GMT""}]","2009-11-07"
"nlin/0210017","Sen-yue Lou","Shun-li Zhang, Sen-yue Lou and Chang-zheng Qu","New variable separation approach: application to nonlinear diffusion
  equations","19 pages, 2 figs",,"10.1088/0305-4470/36/49/006",,"nlin.SI",,"  The concept of the derivative-dependent functional separable solution, as a
generalization to the functional separable solution, is proposed. As an
application, it is used to discuss the generalized nonlinear diffusion
equations based on the generalized conditional symmetry approach. As a
consequence, a complete list of canonical forms for such equations which admit
the derivative-dependent functional separable solutions is obtained and some
exact solutions to the resulting equations are described.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 11:05:21 GMT""}]","2009-11-07"
"nlin/0210018","Sebastian Bouzat","Sebastian Bouzat and Damian Zanette (CONICET, Centro Atomico Bariloche
  e Instituto Balseiro, Argentina)","Survival in the replicator model: Dynamics and statistics","Latex, style file: ws-acs.cls (attached). 17 pages including 10
  figures in eps format. Submitted to Advances in Complex Systems",,,,"nlin.AO q-bio",,"  We study the multi-species replicator model with linear fitness and random
fitness matrices of various classes. By means of numerical resolution of the
replicator equations, we determine the survival probability of a species in
terms of its average interaction with the rest of the system. The role of the
interaction pattern of the ecosystem in defining survival and extinction
probabilities is emphasized.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 15:05:52 GMT""}]","2007-05-23"
"nucl-ex/0210012","ShinIchi Esumi","ShinIchi Esumi (for the PHENIX collaboration)","Identified charged particle azimuthal anisotropy in PHENIX at RHIC","4 pages, 4 figures. Talk presented at Quark Matter 2002, Nantes,
  France, July 18-24, 2002. To appear in the proceedings (Nucl. Phys. A)","Nucl.Phys. A715 (2003) 599-602","10.1016/S0375-9474(02)01541-5",,"nucl-ex",,"  We present here v$_2$ of identified and inclusive charged particles measured
in the PHENIX central arm detector ($|\eta| < 0.35$) with respect to the
reaction plane defined at $|\eta| = 3 \sim 4$ in 200 GeV Au+Au collisions. We
find that v$_2$ increases from central to mid-central collisions reaching a
maximum at about 50% of the geometric cross section and then decreases again
for more peripheral collisions. As a function of transverse momentum in
minimum-bias collisions, the v$_2$ parameter increases linearly with p$_{\rm
T}$ up to p$_{\rm T}$ $\simeq$ 2 GeV/c and then saturates for inclusive charged
particles. The v$_2$ parameter of identified particles ($\pi^+$, $\pi^-$,
$K^+$, $K^-$, $p$ and $\bar{p}$) follow a hydro-dynamic behavior up to 2 GeV/c
in p$_{\rm T}$, where the lighter mass particles have larger v$_2$ at a given
p$_{\rm T}$. However there is an indication that this trend is reversed at
around p$_{\rm T}$ $\simeq$ 2 GeV/c, where $p$ and $\bar{p}$ have larger v$_2$
than $\pi$ and $K$.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 13:27:04 GMT""}]","2009-11-07"
"nucl-th/0210024","Pasi Huovinen","Pasi Huovinen","Results of the Hydrodynamics Approach to Heavy Ion Collisions","10 pages, 7 figures, talk at Quark Matter '02, Nantes, France, July
  2002","Nucl.Phys. A715 (2003) 299-308","10.1016/S0375-9474(02)01439-2",,"nucl-th",,"  Recent hydrodynamical calculations for Au+Au collisions at sqrt(s) = 130 AGeV
energy are reviewed, and the initial conditions of hydrodynamical evolution
necessary to reproduce experimental data are discussed.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 19:37:14 GMT""}]","2009-11-07"
"nucl-th/0210025","Misak Sargsian","M.M. Sargsian, J. Arrington, W. Bertozzi, W. Boeglin, C.E. Carlson,
  D.B. Day, L.L. Frankfurt, K. Egiyan, R. Ent, S. Gilad, K. Griffioen, D.W.
  Higinbotham, S. Kuhn, W. Melnitchouk, G.A. Miller, E. Piasetzky, S.
  Stepanyan, M.I. Strikman and L.B. Weinstein","Hadrons in the Nuclear Medium","52 pages IOP style LaTex file and 20 eps figures","J.Phys.G29:R1,2003","10.1088/0954-3899/29/3/201","NT@UW-02-020","nucl-th hep-ex hep-ph nucl-ex",,"  Quantum Chromodynamics, the microscopic theory of strong interactions, has
not yet been applied to the calculation of nuclear wave functions. However, it
certainly provokes a number of specific questions and suggests the existence of
novel phenomena in nuclear physics which are not part of the the traditional
framework of the meson-nucleon description of nuclei. Many of these phenomena
are related to high nuclear densities and the role of color in nucleonic
interactions. Quantum fluctuations in the spatial separation between nucleons
may lead to local high density configurations of cold nuclear matter in nuclei,
up to four times larger than typical nuclear densities. We argue here that
experiments utilizing the higher energies available upon completion of the
Jefferson Laboratory energy upgrade will be able to probe the quark-gluon
structure of such high density configurations and therefore elucidate the
fundamental nature of nuclear matter. We review three key experimental
programs: quasi-elastic electro-disintegration of light nuclei, deep inelastic
scattering from nuclei at $x>1$, and the measurement of tagged structure
functions. These interrelated programs are all aimed at the exploration of the
quark structure of high density nuclear configurations.
  The study of the QCD dynamics of elementary hard processes is another
important research direction and nuclei provide a unique avenue to explore
these dynamics. We argue that the use of nuclear targets and large values of
momentum transfer at would allow us to determine whether the physics of the
nucleon form factors is dominated by spatially small configurations of three
quarks.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 21:56:57 GMT""}]","2011-07-19"
"nucl-th/0210026","Eizo Uzu","Eizo Uzu","Four-body Faddeev-Yakubovsky calculation of polarization transfer
  coefficient $\bm{K}_y^{y'}$ in the $^2$H$(\vec{\bm{d}}, \vec{\bm{p}})^3$H
  reaction at very low energies","4 pages (ReVTeX), 4 eps figures, submit to Phys. Rev. C",,,,"nucl-th",,"  The polarization transfer coefficient $K_y^{y'}$ for the $^2$H$(\vec{d},
\vec{p})^3$H reaction at energies $E_{\rm lab.} = 30$, 50, 70, and 90keV is
calculated using the four-body Faddeev-Yakubovsky equation. We employ a
separable type of the Paris potential. The experimental data [Phys. Rev. {\bf
C64}, 047601 (2001)] agrees with our solution at the scattering angle
$\theta_{\rm c.m.}=0^\circ$, and there is no discrepancy pointed out in that
paper. We found that the $K_y^{y'}$ is sensitive to the incident deuteron
energy at this angle.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 02:49:39 GMT""},{""version"":""v2"",""created"":""Thu, 10 Oct 2002 05:05:14 GMT""},{""version"":""v3"",""created"":""Wed, 27 Nov 2002 05:02:02 GMT""}]","2007-05-23"
"nucl-th/0210027","Iraj R. Afnan","I.R. Afnan and A.D. Lahiff","The Bethe-Salpeter equation and the low energy theorems for $\pi N$
  scattering","3 pages, 1 Figure, Contribution to QNP2002 Conference, Juelich June
  2002",,"10.1140/epja/i2002-10221-7",,"nucl-th",,"  The Bethe-Salpeter (BS) amplitude for $\pi N$ scattering is evaluated at the
off mass shell points corresponding to the Low Energy Theorems (LET) based on
PCAC and current algebra. The results suggest a way of maintaining consistency
between BS equation and LET.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 06:53:02 GMT""}]","2009-11-07"
"nucl-th/0210028","Desplanques","B. Desplanques, A. Amghar","Nucleon-nucleon interaction models and non-locality","6 pages, 6 figures, file.tar, Invited talk (XVIIIth European
  Conference on Few-Body Problems in Physics), to appear in Few-Body Systems
  Supplement","Few Body Syst.Suppl. 14 (2003) 59-64",,"ISN-02-035","nucl-th",,"  The effect of non-locality in the NN interaction models is examined. It is
shown that this feature can explain differences in predictions made from models
evidencing a difference with this respect. This is done for both static and
dynamical observables, taking into account that a non-local term can be
transformed away by performing a unitary transformation. Some results for the
deuteron form factors, the A(Q^2) structure function and the T_{20}(Q^2) tensor
polarization are given as an example. A few cases where discrepancies cannot be
explained are also considered. They point to differences in the models as for
the deuteron asymptotic normalizations, A_S and A_D, which are not affected by
the present analysis.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 11:06:13 GMT""}]","2007-05-23"
"nucl-th/0210029","Egle Tomasi-Gustafsson","Michail P. Rekalo Egle Tomasi-Gustafsson","Threshold open charm production in nucleon-nucleon collisions","11 page, 3 figures","Eur.Phys.J. A16 (2003) 575-581",,,"nucl-th",,"  The associative charm particles production in nucleon-nucleon collisions
$N+N\to \Lambda_c(\Sigma_c)+\bar{D}+N$, is described in a general way and the
spin and isospin structure of the corresponding matrix elements are derived.
Using an analogy with strange particle ($\Lambda K$)-production, the $D-$meson
exchange model is considered in detail. Estimations of the energy behavior of
the threshold cross sections show a large dependence on the form of the
phenomenological hadron form factors and indicate that, at threshold, the cross
section is three order of magnitude smaller than for strange particle
production.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 13:52:28 GMT""}]","2007-05-23"
"nucl-th/0210030","Carmen Garcia Recio","C. Garcia-Recio, A. J. Melgarejo and J. Nieves (Universidad de
  Granada)","$K^-$-Nucleus Scattering at Low and Intermediate Energies","Only 4 pages, Latex, 3 Figures. This version is much shorter than the
  previous one. Some details and references have been omitted","Phys.Rev. C67 (2003) 047601","10.1103/PhysRevC.67.047601",,"nucl-th",,"  We calculate $K^-$-nucleus elastic differential, reaction and total cross
sections for different nuclei ($^{12}$C,$^{40}$Ca and $^{208}$Pb) at several
laboratory antikaon momenta, ranging from 127 MeV to 800 MeV. We use different
antikaon-nucleus optical potentials, some of them fitted to kaonic atom data,
and study the sensitivity of the cross sections to the considered
antikaon-nucleus dynamics.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 15:55:52 GMT""},{""version"":""v2"",""created"":""Fri, 21 Feb 2003 09:52:45 GMT""}]","2009-11-07"
"physics/0210034","Fda","Fran De Aquino (Maranhao State University, Brazil)","Ferromagnetic Antenna and its Application to Generation and Detection of
  Gravitational Radiation","12 pages, PDF,Fig.3 Added",,,,"physics.gen-ph",,"  A new type of antenna, which we have called Ferromagnetic Antenna, has been
considered for Generation and Detection of Gravitational Radiation. A simple
experiment, in which gravitational radiation at 10 GHz can be emitted and
received in laboratory, is presented.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 19:19:06 GMT""},{""version"":""v2"",""created"":""Sat, 19 Oct 2002 13:44:22 GMT""},{""version"":""v3"",""created"":""Fri, 25 Oct 2002 19:57:16 GMT""},{""version"":""v4"",""created"":""Wed, 30 Oct 2002 18:52:30 GMT""}]","2007-05-23"
"physics/0210037","Francesco Belgiorno","F.Belgiorno","Notes on the Third Law of Thermodynamics.I","29 pages, 2 figures; RevTex file",,"10.1088/0305-4470/36/30/301",,"physics.gen-ph",,"  We analyze some aspects of the third law of thermodynamics. We first review
both the entropic version (N) and the unattainability version (U) and the
relation occurring between them. Then, we heuristically interpret (N) as a
continuity boundary condition for thermodynamics at the boundary T=0 of the
thermodynamic domain. On a rigorous mathematical footing, we discuss the third
law both in Carath\'eodory's approach and in Gibbs' one. Carath\'eodory's
approach is fundamental in order to understand the nature of the surface T=0.
In fact, in this approach, under suitable mathematical conditions, T=0 appears
as a leaf of the foliation of the thermodynamic manifold associated with the
non-singular integrable Pfaffian form $\delta Q_{rev}$. Being a leaf, it cannot
intersect any other leaf $S=$ const. of the foliation. We show that (N) is
equivalent to the requirement that T=0 is a leaf. In Gibbs' approach, the
peculiar nature of T=0 appears to be less evident because the existence of the
entropy is a postulate; nevertheless, it is still possible to conclude that the
lowest value of the entropy has to belong to the boundary of the convex set
where the function is defined.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:12:39 GMT""}]","2016-09-08"
"physics/0210038","Sven Bergmann","Sven Bergmann, Jan Ihmels and Naama Barkai","The Iterative Signature Algorithm for the analysis of large scale gene
  expression data","Latex, 36 pages, 8 figures",,"10.1103/PhysRevE.67.031902",,"physics.bio-ph physics.data-an q-bio.GN",,"  We present a new approach for the analysis of genome-wide expression data.
Our method is designed to overcome the limitations of traditional techniques,
when applied to large-scale data. Rather than alloting each gene to a single
cluster, we assign both genes and conditions to context-dependent and
potentially overlapping transcription modules. We provide a rigorous definition
of a transcription module as the object to be retrieved from the expression
data. An efficient algorithm, that searches for the modules encoded in the data
by iteratively refining sets of genes and conditions until they match this
definition, is established. Each iteration involves a linear map, induced by
the normalized expression matrix, followed by the application of a threshold
function. We argue that our method is in fact a generalization of Singular
Value Decomposition, which corresponds to the special case where no threshold
is applied. We show analytically that for noisy expression data our approach
leads to better classification due to the implementation of the threshold. This
result is confirmed by numerical analyses based on in-silico expression data.
We discuss briefly results obtained by applying our algorithm to expression
data from the yeast S. cerevisiae.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:44:58 GMT""}]","2009-11-07"
"physics/0210039","Swapan Roychowdhury","Swapan Roychowdhury and Biman Bagchi (Indian Institute of Science,
  India)","Molecular Dynamics Simulation of Vibrational Phase Relaxation along the
  Critical Isochore of Nitrogen : The Role of Local Density Fluctuations","4 pages, 3 figures, revtex, accepted in Physical Review Letters",,,,"physics.chem-ph",,"  Vibrational dephasing of nitrogen molecule is known to show highly
interesting anomalies near its gas-liquid critical point. Here we present
theoretical and computational studies of the Raman linewidth of nitrogen along
the critical isochore. The linewidth is found to have a lambda shaped
temperature dependence near the critical point. As observed in experimental
studies, the calculated lineshape becomes Gaussian as the critical temperature
($T_{c}$) is approached. Both the present simulation and a mode coupling theory
(MCT) analysis show that the slow decay of the enhanced density fluctuations
near the critical point (CP), probed at the sub-picosecond time scales by
vibrational frequency modulation, along with an enhanced vibration-rotation
coupling, are the main causes of the observed anomalies.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 16:48:32 GMT""},{""version"":""v2"",""created"":""Fri, 24 Jan 2003 17:19:26 GMT""}]","2007-05-23"
"physics/0210040","Shantilal G. Goradia","Shantilal G. Goradia","Linking inverse square law with quantum mechanical probabilities",,,,,"physics.gen-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We use entropy to link fine-structure constant and cosmological constant. We
also link nuclear force and gravity. We step on the fundamentals of
consciousness for this new millennium with a scientific approach. Statistical
and quantum mechanical probabilistic approach to explain gravity has a
potential to extend physics to other branches of science. We meet the minds of
giants such as Newton, Einstein, and Gamow. Implicitly we show gravity as the
cumulative effect of all other forces, dominated by the strong force.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 15:37:31 GMT""},{""version"":""v2"",""created"":""Sat, 6 Aug 2005 16:14:23 GMT""},{""version"":""v3"",""created"":""Sat, 6 Jan 2007 03:42:08 GMT""},{""version"":""v4"",""created"":""Thu, 22 Nov 2007 04:04:43 GMT""},{""version"":""v5"",""created"":""Wed, 6 Oct 2010 03:29:10 GMT""}]","2010-10-07"
"physics/0210041","Lars Egil Helseth","L.E.Helseth","Electromagnetic focusing through a tilted dielectric interface","8 pages, 1 figure. Submitted to Optics Communications",,"10.1016/S0030-4018(02)02293-9",,"physics.optics physics.gen-ph",,"  Focusing through a tilted dielectric interface is studied, and an explicit
expression for the electric field in the focal region is found. In the case of
small tilt angles, one obtains a focal shift, and only a simple aberration term
remains.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 21:17:03 GMT""}]","2009-11-07"
"physics/0210042","Deepak Mathur","V. Kumarappan, M. Krishnamurthy, and D. Mathur","Asymmetric emission of high energy electrons in the two-dimensional
  hydrodynamic expansion of large xenon clusters irradiated by intense laser
  fields","1 Revtex file, 8 figs. in eps format",,"10.1103/PhysRevA.67.043204",,"physics.atm-clus physics.plasm-ph",,"  Energy spectra and angular distributions have been measured of electrons that
are emitted upon disassembly of $Xe_{150000}$ following irradiation by intense
(10$^{15}-10^{16}$ W cm$^{-2}$) laser pulses whose durations are varied over
the 100-2200 fs range. The cluster explosion dynamics occur in the hydrodynamic
regime. Electron emission is found to be unexpectedly asymmetric and exhibits a
resonance when the laser pulse duration is $\sim$1 ps. These results are
rationalized by extending the hydrodynamic model to also take into account the
force that the light field exerts on the polarization charge that is induced on
surface of the cluster. We show that the magnitude of this electrostrictive
force is comparable to those of Coulombic and the hydrodynamic forces, and it
exhibits resonance behavior. Contrary to earlier understanding, we find that
low-energy electrons are connected to the resonance in energy absorption by the
cluster. The high-energy electrons seem to be produced by a mechanism that is
not so strongly influenced by the resonance.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 10:32:41 GMT""}]","2009-11-07"
"physics/0210043","George Bertsch","G.F. Bertsch, J. Giansiracusa, and K. Yabana","Application of time-dependent density-functional theory to electron-ion
  couplng in ethylene","14 pages and 4 figures: an error is corrected in Table 2","Israel Journal of Chemistry 42 151 (2002)",,"UW-INT-001","physics.chem-ph",,"  To examine the applicability of the time-dependent density-functional theory
(TDDFT) for treating the electron-nucleus coupling in excited states, we
calculate the strength distribution associated with the pi-pi* transition in
ethylene. The observed optical transition strength at 7-8.5 eV region shows a
complex structure arising from coupling to C-C stretch motion, to torsional
motion, and to Rydberg excitations. The mean energy of the observed peak is
reproduced to about 0.2 eV accuracy by the TDDFT in the local density
approximation (LDA). The reflection approximation is used to calculate the peak
broadening. Roughly half of the broadening can be attributed to the fluctuation
in the C-C coordinate. The asymmetry in the line shape is also qualitatively
reproduced by the C-C coordinate fluctuation. We find, in agreement with other
theoretical studies, that the torsional motion is responsible for the
progression of weak transition strength extending from the peak down to about 6
eV. The LDA reproduces the strength in this region to about factor of 3. We
conclude that the TDDFT is rather promising for calculating the electron
nucleus coupling at short times.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 10:33:58 GMT""},{""version"":""v2"",""created"":""Thu, 21 Aug 2003 17:03:18 GMT""}]","2007-05-23"
"physics/0210044","Nick Braun","F.N. Braun and C. Viney","Self-assembly in the major ampullate gland of Nephila clavipes",,,,,"physics.bio-ph q-bio",,"  We present a tentative interpretation of the origin of nematic liquid
crystalline order exhibited by dragline silk fibroin solutions collected from
the spider Nephila clavipes. Liquid crystallinity is thought to confer certain
rheological properties on the fibroin solution which are exploited during the
dragline spinning process. We show that the feasibility of liquid crystallinity
under physiological conditions depends critically on parameters characterising
the amino-acid sequence of the fibroin molecules.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 11:15:29 GMT""}]","2007-05-23"
"quant-ph/0210053","Barbara M. Terhal","Barbara M. Terhal, Andrew C. Doherty and David Schwab","Local Hidden Variable Theories for Quantum States","8 pages Revtex; v2 contains substantial changes, a strengthened main
  theorem and more references","Phys. Rev. Lett {\bf 90}, 157903 (2003)","10.1103/PhysRevLett.90.157903",,"quant-ph",,"  While all bipartite pure entangled states violate some Bell inequality, the
relationship between entanglement and non-locality for mixed quantum states is
not well understood. We introduce a simple and efficient algorithmic approach
for the problem of constructing local hidden variable theories for quantum
states. The method is based on constructing a so-called symmetric
quasi-extension of the quantum state that gives rise to a local hidden variable
model with a certain number of settings for the observers Alice and Bob.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 17:31:48 GMT""},{""version"":""v2"",""created"":""Tue, 15 Oct 2002 19:45:04 GMT""}]","2009-11-07"
"quant-ph/0210054","Michael R. Gallis","Michael R. Gallis","Open environments for quantum open systems","11 pages, RevTeX and BibTeX",,,,"quant-ph",,"  The majority of quantum open system models in the literature are simplistic
in the sense that they only explicitly account for that part of the environment
that directly interacts with the system of interest. A quantum open system with
an open environment is examined using the projection operator method in the
weak coupling limit. The openness of environment is modelled by nonunitary
evolution of the Lindblad form. Under certain conditions, the resulting master
equation for the system is insensitive to the initial state of the environment
and to initial entanglements between the system and environment for time scales
greater than the environment relaxation timescales. For the particular case of
an environment consisting of a harmonic oscillator bath, the resulting master
equations are demonstrated to have the algebraic form for completely positive
evolution. The open environment model is illustrated for the particular case of
a system linearly coupled to an oscillator bath.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 18:17:37 GMT""}]","2007-05-23"
"quant-ph/0210055","Simone Severini","Simone Severini","The underlying digraph of a coined quantum random walk","11 pages",,,,"quant-ph",,"  We give a characterization of the line digraph of a regular digraph. We make
use of the characterization, to show that the underlying digraph of a coined
quantum random walk is a line digraph. We remark the connection between line
digraphs and in-split graphs in symbolic dynamics.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 19:34:05 GMT""},{""version"":""v2"",""created"":""Tue, 8 Oct 2002 20:43:28 GMT""},{""version"":""v3"",""created"":""Mon, 24 Mar 2003 20:32:13 GMT""}]","2007-05-23"
"quant-ph/0210056","Andrew Silberfarb","Andrew Silberfarb, Ivan H. Deutsch (University of New Mexico)","Continuous measurement with traveling wave probes","9 pages, 2 figures, Update to clarify some points, and change small
  errors","Phys. Rev. A (68) 13817 (2003)","10.1103/PhysRevA.68.013817",,"quant-ph",,"  We consider the use of a traveling wave probe to continuously measure the
quantum state of an atom in free space. Unlike the more familiar cavity QED
geometry, the traveling wave is intrinsically a multimode problem. Using an
appropriate modal decomposition we determine the effective measurement strength
for different atom-field interactions and different initial states of the
field. These include the interaction of a coherent-state pulse with an atom,
the interaction of a Fock-state pulse with an atom, and the use of Faraday
rotation of a polarized laser probe to perform a QND measurement on an atomic
spin.
","[{""version"":""v1"",""created"":""Tue, 8 Oct 2002 22:15:01 GMT""},{""version"":""v2"",""created"":""Fri, 1 Aug 2003 21:35:12 GMT""}]","2009-11-07"
"quant-ph/0210057","Lorenza Viola","Evan M. Fortunato, Lorenza Viola, Marco A. Pravia, Emanuel Knill,
  Raymond Laflamme, Timothy F. Havel, David G. Cory","Exploring Noiseless Subsystems via Nuclear Magnetic Resonance","21 pages, 5 encapsulated eps figures, REVTeX4. Substantially expanded
  description of work reported in Science 293, 2059 (2000), including
  additional theoretical considerations and experimental results",,"10.1103/PhysRevA.67.062303",,"quant-ph",,"  Noiseless subsystems offer a general and efficient method for protecting
quantum information in the presence of noise that has symmetry properties. A
paradigmatic class of error models displaying non-trivial symmetries emerges
under collective noise behavior, which implies a permutationally-invariant
interaction between the system and the environment. We describe experiments
demonstrating the preservation of a bit of quantum information encoded in a
three qubit noiseless subsystem for general collective noise. A complete set of
input states is used to determine the super-operator for the implemented
one-qubit process and to confirm that the fidelity of entanglement is improved
for a large, non-commutative set of engineered errors. To date, this is the
largest set of error operators that has been successfully corrected for by any
quantum code.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 01:40:24 GMT""}]","2009-11-07"
"quant-ph/0210058","Robert C. Bishop","Robert C. Bishop","Quantum Time Arrows, Semigroups and Time-Reversal in Scattering","10 pages, accepted for publication in the International Journal of
  Theoretical Physics, presented at the International Quantum Structures
  Association Sixth Biennial Meeting, Vienna, Austria, 1-7 July 2002; corrected
  minor typographical errors",,,,"quant-ph",,"  Two approaches toward the arrow of time for scattering processes have been
proposed in rigged Hilbert space quantum mechanics. One, due to Arno Bohm,
involves preparations and registrations in laboratory operations and results in
two semigroups oriented in the forward direction of time. The other, employed
by the Brussels-Austin group, is more general, involving excitations and
de-excitations of systems, and apparently results in two semigroups oriented in
opposite directions of time. It turns out that these two time arrows can be
related to each other via Wigner's extensions of the spacetime symmetry group.
Furthermore, their are subtle differences in causality as well as the
possibilities for the existence and creation of time-reversed states depending
on which time arrow is chosen.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 09:30:22 GMT""},{""version"":""v2"",""created"":""Wed, 1 Oct 2003 10:42:05 GMT""},{""version"":""v3"",""created"":""Sat, 20 Mar 2004 20:08:15 GMT""}]","2007-05-23"
"quant-ph/0210059","Nicolas J. Cerf","N. J. Cerf, J. Fiurasek, S. Iblisdir, and S. Massar","Generation of Large Photon-Number Cat States using Linear Optics and
  Quantum Memory","4 pages, to appear in the Proceedings of the Sixth International
  Conference on Quantum Communication, Measurement and Computing (QCMC'02),
  Boston, July 22-26, 2002",,,,"quant-ph",,"  A recursive method for producing path-entangled states of light is presented.
These states may find applications in quantum lithography and high-precision
interferometric measurements. The required resources are single-photon sources,
linear optics components, and photodetectors. Adding a quantum memory greatly
enhances the yield in comparison with the previously known schemes.
","[{""version"":""v1"",""created"":""Wed, 9 Oct 2002 15:14:51 GMT""}]","2007-05-23"
