"astro-ph/0210617","Dan Hooper","Dan Hooper and Brenda Dingus","Limits on Supersymmetric Dark Matter From EGRET Observations of the
  Galactic Center Region","4 pages, 3 figures","Phys.Rev. D70 (2004) 113007","10.1103/PhysRevD.70.113007","MAD-PH-02-1310, LAUR-02-6743","astro-ph hep-ph",,"  In most supersymmetic models, neutralino dark matter particles are predicted
to accumulate in the Galactic center and annihilate generating, among other
products, gamma rays. The EGRET experiment has made observations in this
region, and is sensitive to gamma rays from 30 MeV to $\sim$30 GeV. We have
used an improved point source analysis including an energy dependent point
spread function and an unbinned maximum likelihood technique, which has allowed
us to significantly lower the limits on gamma ray flux from the Galactic
center. We find that the present EGRET data can limit many supersymmetric
models if the density of the Galactic dark matter halo is cuspy or spiked
toward the Galactic center. We also discuss the ability of GLAST to test these
models.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 19:24:14 GMT""}]","2009-11-07"
"math/0210450","Daisuke Sagaki","Satoshi Naito and Daisuke Sagaki","Path Model for a Level Zero Extremal Weight Module over a Quantum Affine
  Algebra",,,,,"math.QA math.RT",,"  We give a path model for a level zero extremal weight module over a quantum
affine algebra. By using this result, we prove a branching rule for an extremal
weight module with respect to a Levi subalgebra. Furthermore, we also show a
decomposition rule of Littelmann type for the concatenation of path models for
an integrable highest weight module and a level zero extremal weight module in
the case where the extremal weight is minuscule.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 06:07:21 GMT""},{""version"":""v2"",""created"":""Wed, 6 Nov 2002 03:46:12 GMT""}]","2007-05-23"
"math/0210451","Axel Kleinschmidt","Axel Kleinschmidt","Lattice Vertex Algebras on General Even, Self-dual Lattices","1+15 pages, LaTeX2e;corrected proof in sect. 5, added references","JHEP 0307 (2003) 069","10.1088/1126-6708/2003/07/069","DAMTP 2002-132","math.QA hep-th",,"  In this note we analyse the Lie algebras of physical states stemming from
lattice constructions on general even, self-dual lattices Gamma^{p,q} with p
greater or equal to q. It is known that if the lattice is at most Lorentzian,
the resulting Lie algebra is of generalized Kac-Moody type (or has a quotient
that is). We show that this is not true as soon as q is larger than 1. By
studying a certain sublattice in the case q>1 we obtain results that lead to
the conjecture that the resulting non-GKM Lie algebra cannot be described
conveniently in terms of generators and relations and belongs to a new and
qualitatively different class of Lie algebras.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 14:40:19 GMT""},{""version"":""v2"",""created"":""Tue, 11 Feb 2003 19:17:01 GMT""}]","2009-11-07"
"math/0210452","Long Wang","Long Wang","Complete Solution to the General Robust Strictly Positive Real Synthesis
  Problem for Polynomial Segments","In this paper, a long-standing open problem in modern control theory
  has been constructively resolved",,,,"math.OC math.DS",,"  For any two n-th order polynomials a(s) and b(s), the Hurwitz stability of
their convex combination is necessary and sufficient for the existence of a
polynomial c(s) such that c(s)/a(s) and c(s)/b(s) are both strictly positive
real.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 08:05:49 GMT""}]","2012-03-24"
"math/0210453","Eduardo Liz","E. Liz, V. Tkachenko and S. Trofimchuk","Yorke and Wright 3/2-stability theorems from a unified point of view","10 pages, accepted for publication in the Expanded Volume of DCDS,
  devoted to the fourth international conference on Dynamical Systems and
  Differential Equations, held at UNC at Wilmington, May 2002. Minor changes
  from the previous version",,,,"math.DS",,"  We consider a family of scalar delay differential equations $x'(t)=f(t,x_t)$,
with a nonlinearity $f$ satisfying a negative feedback condition combined with
a boundedness condition. We present a global stability criterion for this
family, which in particular unifies the celebrated 3/2-conditions given for the
Yorke and the Wright type equations. We illustrate our results with some
applications.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 08:37:06 GMT""},{""version"":""v2"",""created"":""Mon, 10 Mar 2003 10:37:58 GMT""}]","2007-05-23"
"math/0210454","Priska Jahnke","Priska Jahnke, Ivo Radloff","Splitting jet sequences","11 pages, LaTeX2e","Math. Res. Letters 11 (2004), 345-354",,,"math.AG math.DG",,"  The consequences of the splitting of higher jet sequences of vector bundles
on a compact complex (Kaehler) manifold are studied, proving an infinitesimal
convers to a result of I.Biswas.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 08:39:55 GMT""}]","2007-05-23"
"math/0210455","Marc Chardin","Marc Chardin","Projective schemes: What is Computable in low degree?",,"ACM SIGSAM Bulletin, Issue 138, vol. 35, n. 4, 2001, pp. 23-39",,,"math.AC math.AG",,"  This article first presents two examples of algorithms that extracts
information on scheme out of its defining equations. We also give a review on
the notion of Castelnuovo-Mumford regularity, its main properties (in
particular its relation to computational issues) and different ways that were
used to estimate it.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 09:28:02 GMT""}]","2007-05-23"
"math/0210457","Boris Tsirelson","Boris Tsirelson","Non-Isomorphic Product Systems","70 pages. Small errors corrected, especially in 1.9, 2.3, 5.8
  (formulations) and 13.6, 13.7 (proofs)","Advances in Quantum Dynamics (eds G Price et al), Contemp Math
  335, AMS, pp 273-328 (2003).",,,"math.FA math.OA math.PR",,"  Uncountably many mutually non-isomorphic product systems (that is, continuous
tensor products of Hilbert spaces) of types II-0 and III are constructed by
probabilistic means (random sets and off-white noises), answering four
questions of W. Arveson. Results of math.FA/0001070, math.FA/0006165 are
improved, and proofs are more readable.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 13:01:47 GMT""},{""version"":""v2"",""created"":""Fri, 11 Apr 2003 19:38:49 GMT""}]","2007-05-23"
"math/0210458","Frederic Chapoton","Frederic Chapoton","On intervals in some posets of forests","14 pages, 5 figures","Journal of Combinatorial Theory, Series A 102 (2003) 367-382","10.1016/S0097-3165(03)00048-7",,"math.CO",,"  A nice factorization is given for the characteristic polynomials of intervals
in some posets of leaf-labeled forests of rooted binary trees.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 14:07:06 GMT""}]","2011-03-31"
"nlin/0210066","M. R. Paul","M.R. Paul, K.-H. Chiam, M.C. Cross, P.F. Fischer, H. S. Greenside","Pattern Formation and Dynamics in Rayleigh-B\'{e}nard Convection:
  Numerical Simulations of Experimentally Realistic Geometries","9 pages, 10 figures",,"10.1016/S0167-2789(03)00216-1",,"nlin.PS nlin.CD",,"  Rayleigh-B\'{e}nard convection is studied and quantitative comparisons are
made, where possible, between theory and experiment by performing numerical
simulations of the Boussinesq equations for a variety of experimentally
realistic situations. Rectangular and cylindrical geometries of varying aspect
ratios for experimental boundary conditions, including fins and spatial ramps
in plate separation, are examined with particular attention paid to the role of
the mean flow. A small cylindrical convection layer bounded laterally either by
a rigid wall, fin, or a ramp is investigated and our results suggest that the
mean flow plays an important role in the observed wavenumber. Analytical
results are developed quantifying the mean flow sources, generated by amplitude
gradients, and its effect on the pattern wavenumber for a large-aspect-ratio
cylinder with a ramped boundary. Numerical results are found to agree well with
these analytical predictions. We gain further insight into the role of mean
flow in pattern dynamics by employing a novel method of quenching the mean flow
numerically. Simulations of a spiral defect chaos state where the mean flow is
suddenly quenched is found to remove the time dependence, increase the
wavenumber and make the pattern more angular in nature.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 20:21:28 GMT""}]","2009-11-07"
"nlin/0210067","Carl Dettmann","Carl P. Dettmann (University of Bristol, UK)","Fractal asymptotics","15 pages, 5 postscript figures incorporated into the text; v2:
  Quadratic Pade (Shafer) method added, also a few references","Physica D 187, 214-222 (2004)","10.1016/j.physd.2003.09.011",,"nlin.CD",,"  Recent advances in the periodic orbit theory of stochastically perturbed
systems have permitted a calculation of the escape rate of a noisy chaotic map
to order 64 in the noise strength. Comparison with the usual asymptotic
expansions obtained from integrals and with a previous calculation of the
electrostatic potential of exactly selfsimilar fractal charge distributions,
suggests a remarkably accurate form for the late terms in the expansion, with
parameters determined independently from the fractal repeller and the critical
point of the map. Two methods give a precise meaning to the asymptotic
expansion, Borel summation and Shafer approximants. These can then be compared
with the escape rate as computed by alternative methods.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 21:47:39 GMT""},{""version"":""v2"",""created"":""Fri, 26 Sep 2003 10:30:58 GMT""}]","2015-06-26"
"nlin/0210068","Amit Apte","A.Apte, A.Wurm and P.J.Morrison","Renormalization and destruction of $1/\gamma^2$ tori in the standard
  nontwist map","To be Submitted to Chaos","Chaos Vol 13(2) pp. 421-433. June 2003","10.1063/1.1555472",,"nlin.CD",,"  Extending the work of del-Castillo-Negrete, Greene, and Morrison, Physica D
{\bf 91}, 1 (1996) and {\bf 100}, 311 (1997) on the standard nontwist map, the
breakup of an invariant torus with winding number equal to the inverse golden
mean squared is studied. Improved numerical techniques provide the greater
accuracy that is needed for this case. The new results are interpreted within
the renormalization group framework by constructing a renormalization operator
on the space of commuting map pairs, and by studying the fixed points of the so
constructed operator.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 23:19:56 GMT""}]","2007-05-23"
"nlin/0210069","Victor S. L'vov","Victor S.L'vov, Gijs Ooms and Anna Pomyalov","Effect of particle inertia on the turbulence in a suspension","21 pages, 5 figues,included, PRE, submitted","Phys. Rev. E, 67 046314 (2003).","10.1103/PhysRevE.67.046314",,"nlin.CD physics.flu-dyn",,"  We propose a one-fluid analytical model for a turbulently flowing dilute
suspension, based on modified Navier-Stokes equation with a $k$-dependent
effective density of suspension, $\rho_ {eff}(k)$, and an additional damping
term $\propto \gamma_ p(k)$, representing the fluid-particle friction
(described by Stokes law). The statistical description of turbulence within the
model is simplified by a modification of the usual closure procedure based on
the Richardson-Kolmogorov picture of turbulence with a differential
approximation for the energy transfer term. The resulting ordinary differential
equation for the energy budget is solved analytically for various important
limiting cases and numerically in the general case. In the inertial interval of
scales we describe analytically two competing effects: the energy suppression
due to the fluid particle friction and the energy enhancement during the
cascade process due to decrease of the effective density of the small scale
motions. An additional suppression or enhancement of the energy density may
occur in the viscous subrange, caused by the variation of the extent of the
inertial interval due to the combined effect of the fluid-particle friction and
the decrease of the kinematic viscosity of the suspensions. The analytical
description of the complicated interplay of these effects supported by
numerical calculations is presented. Our findings allow one to rationalize the
qualitative picture of the isotropic homogeneous turbulence of dilute
suspensions as observed in direct numerical simulations.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 08:01:55 GMT""},{""version"":""v2"",""created"":""Tue, 4 Feb 2003 14:25:21 GMT""}]","2007-05-23"
"nlin/0210070","Sandeep Krishna","Sanjay Jain (1,2,3,4) and Sandeep Krishna (2) (1 - Department of
  Physics and Astrophysics, University of Delhi, Delhi. 2 - Centre for
  Theoretical Studies, Indian Institute of Science, Bangalore. 3 - Santa Fe
  Institute, Santa Fe. 4 - Jawaharlal Nehru Centre for Advanced Scientific
  Research, Bangalore.)","Graph Theory and the Evolution of Autocatalytic Networks","46 pages, 15 figures, to appear in ""Handbook of Graphs and Networks"",
  eds, S. Bornholdt and H. G. Schuster, John Wiley and VCH publishers",,,,"nlin.AO",,"  We give a self-contained introduction to the theory of directed graphs,
leading up to the relationship between the Perron-Frobenius eigenvectors of a
graph and its autocatalytic sets. Then we discuss a particular dynamical system
on a fixed but arbitrary graph, that describes the population dynamics of
species whose interactions are determined by the graph. The attractors of this
dynamical system are described as a function of graph topology. Finally we
consider a dynamical system in which the graph of interactions of the species
coevolves with the populations of the species. We show that this system
exhibits complex dynamics including self-organization of the network by
autocatalytic sets, growth of complexity and structure, and collapse of the
network followed by recoveries. We argue that a graph theoretic classification
of perturbations of the network is helpful in predicting the future impact of a
perturbation over short and medium time scales.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 10:32:04 GMT""}]","2007-05-23"
"nlin/0210071","Artur Lozinski","Karol Zyczkowski (Warsaw), Artur Lozinski (Cracow)","Euroattractor: a brief introduction to Iterated Function Systems","8 pages, 4 figures, to be published in Proceedings of the
  EUROATTRACTOR conference, Warsaw, June 2002","pages 231-241 in ""Simplicity behind Complexity"", (ed. W.
  Klonowski), Pabst Publishers, Langerich, 2004.",,,"nlin.CD",,"  In this work we propose a definition of an Euroattractor: an attracting
invariant measure of a certain iterated functions system (IFS). An IFS is
defined by specifying a set of functions, defined in subsets of R^N or in a
classical phase space, which act randomly on the initial point, so it may be
considered as a generalization of the notion of classical dynamical system. If
the functions are sufficiently contracting, there exists an invariant measure
of the system, often concentrated on a fractal set. We investigate invariant
measures of a certain class of generalized or weakly contracting IFS's.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 12:15:33 GMT""}]","2007-05-23"
"nucl-ex/0210039","A. Marinov","A. Marinov, S. Gelberg, D. Kolb, R. Brandt and A. Pape","New Outlook on the Possible Existence of Superheavy Elements in Nature","8 pages, 8 figures, 5 tables. Paper presented at VII Int.
  School-Seminar on Heavy Ion Physics, May 27 - June 1, 2002, Dubna, Russia","Phys.Atom.Nucl.66:1137-1145,2003; Yad.Fiz.66:1173-1181,2003","10.1134/1.1586428",,"nucl-ex",,"  A consistent interpretation is given to some previously unexplained phenomena
seen in nature in terms of the recently discovered long-lived high spin super-
and hyper-deformed isomeric states. The Po halos seen in mica are interpreted
as due to the existence of such isomeric states in corresponding Po or nearby
nuclei which eventually decay by gamma- or beta-decay to the ground states of
210Po, 214Po and 218Po nuclei. The low-energy 4.5 MeV alpha-particle group
observed in several minerals is interpreted as due to a very enhanced alpha
transition from the third minimum of the potential-energy surface in a
superheavy nucleus with atomic number Z=108 (Hs) and atomic mass number around
271 to the corresponding minimum in the daughter.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 11:19:59 GMT""}]","2009-09-29"
"nucl-th/0210085","Bijay K. Agrawal","B. K. Agrawal, S. Shlomo, and A. I. Sanzhur","Self-Consistent Hartree-Fock Based Random Phase Approximation And The
  Spurious State Mixing","Revtex file(39 pages) and figures(20 PS files)","Phys.Rev. C67 (2003) 034314","10.1103/PhysRevC.67.034314",,"nucl-th",,"  We use a fully self-consistent Hartree$-$Fock (HF) based continuum random
phase approximation (CRPA) to calculate strength functions $S(E)$ and
transition densities $\rho_t(r)$ for isoscalar giant resonances with
multipolarities $L = 0$, 1 and 2 in $^{80}Zr$ nucleus. In particular, we
consider the effects of spurious state mixing (SSM) in the isoscalar giant
dipole resonance (ISGDR) and extend the projection method to determine the
mixing amplitude of spurious state so that properly normalized $S(E)$ and
$\rho_t(r)$ having no contribution due to SSM can be obtained. For the
calculation to be highly accurate we use a very fine radial mesh (0.04 fm) and
zero smearing width in HF$-$CRPA calculations. We first use our most accurate
results as a basis to establish the credibility of the projection method,
employed to eliminate the SSM, and then to investigate the consequences of the
common violation of self-consistency, in actual implementation of HF based CRPA
and discretized RPA (DRPA), as often encountered in the published literature.
The HF$-$DRPA calculations are carried out using a typical box size of 12 fm
and a very large box of 72 fm, for different values of particle-hole energy
cutoff ranging from 50 to 600 MeV.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 17:27:51 GMT""}]","2009-11-07"
"nucl-th/0210086","D. N. Basu","D.N. Basu","Role of effective interaction in nuclear disintegration processes","7 pages","Phys.Lett. B566 (2003) 90-97","10.1016/S0370-2693(03)00801-3",,"nucl-th",,"  A simple superasymmetric fission model using microscopically calculated
nuclear potentials has shown itself to be outstandingly successful in
describing highly asymmetric spontaneous disintegration of nuclei into two
composite nuclear fragments. The nuclear interaction potentials required to
describe these nuclear decay processes have been calculated by double folding
the density distribution functions of the two fragments with a realistic
effective interaction. The microscopic nucleus-nucleus potential thus obtained,
along with the Coulomb interaction potential and the minimum centrifugal
barrier required for the spin-parity conservation, has been used successfully
for the lifetime calculations of these nuclear disintegration processes.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 13:16:16 GMT""},{""version"":""v2"",""created"":""Mon, 11 Nov 2002 10:43:52 GMT""},{""version"":""v3"",""created"":""Wed, 7 May 2003 11:31:42 GMT""}]","2009-11-07"
"physics/0210116","Pradip Kumar Biswas","P K Biswas","A new ab initio method of calculating $Z_{eff}$ and positron
  annihilation rates using coupled-channel T-matrix amplitudes","9 pages, 1 figure",,,,"physics.atom-ph",,"  A new {\it ab initio} theoretical formulation to calculate $Z_{eff}$ and
hence the positron annihilation rates is presented using the on-shell and
half-offshell T-matrix scattering amplitudes without any explicit use of the
scattering wave function. The formulation is exact and universal, as long as
the dynamics of the system can be described by a Lippmann-Schwinger type
equation. It could serve as an effective tool as all the $T-$, $K-$, and
$S-$matrix formulations, yield directly the scattering amplitudes; not the wave
function. We also present a basic numerical test of the formulation.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 18:47:47 GMT""}]","2007-05-23"
"physics/0210121","Randall D. Peters","Randall D. Peters","Model of Internal Friction Damping in Solids","12 pages, 4 figures",,,,"physics.class-ph physics.ed-ph",,"  A model for harmonic oscillator damping due to the internal friction of
solids has been developed, based on considerations of a long period pendulum.
The assumption of a complex elastic modulus to describe stress-strain
hysteresis in the support structure of the pendulum yields an expression for
the figure of merit Q that agrees with many experiments involving material
damping. As such, the approximations of this linear model stand in contrast
with common theory.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 19:40:15 GMT""}]","2007-05-23"
"physics/0210123","Evert Jan Meijer","Jan-Willem Handgraaf, Titus S. van Erp and Evert Jan Meijer","Ab initio molecular dynamics study of liquid methanol","14 pages, 4 figures, accepted for publication in Chemical Physics
  Letters","Chem. Phys. Lett. 367, 617 (2003)","10.1016/S0009-2614(02)01779-7",,"physics.chem-ph",,"  We present a density-functional theory based molecular-dynamics study of the
structural, dynamical, and electronic properties of liquid methanol under
ambient conditions. The calculated radial distribution functions involving the
oxygen and hydroxyl hydrogen show a pronounced hydrogen bonding and compare
well with recent neutron diffraction data, except for an underestimate of the
oxygen-oxygen correlation. We observe that, in line with infrared spectroscopic
data, the hydroxyl stretching mode is significantly red-shifted in the liquid.
A substantial enhancement of the dipole moment is accompanied by significant
fluctuations due to thermal motion. Our results provide valuable data for
improvement of empirical potentials.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 16:27:43 GMT""}]","2009-11-07"
"physics/0210124","Rodrigo de Abreu","Rodrigo de Abreu","Analise Termodinamica de um circuito RLC","12 pages, 0 figures (in portuguese language)",,,,"physics.gen-ph",,"  We analyse a RLC circuit taking the Second Law of Thermodynamics into
consideration.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 17:16:08 GMT""}]","2007-05-23"
"physics/0210125","Kenton K. Yee","Kenton K. Yee","Ownership and Trade from Evolutionary Games","See http://www.columbia.edu/~kky2001/ for related articles on
  author's personal web page","International Review of Law and Economics, Vol. 23, No. 2, pp.
  183-197, 2003",,"http://papers.ssrn.com/sol3/papers.cfm?abstract_id=319102","physics.bio-ph cs.GT nlin.AO nlin.CG physics.soc-ph q-bio.PE",,"  Ownership and trade emerge from anarchy as evolutionary stable strategies. In
these evolutionary game models, ownership status provides an endogenous
asymmetrizing criterion enabling cheaper resolution of property conflicts.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 00:11:31 GMT""}]","2007-05-23"
"quant-ph/0210198","Martin Ziegler","Martin Ziegler and Benno Fuchssteiner (University of Paderborn)","Nonlinear Reformulation of Heisenberg's Dynamics","10 pages (+optional appendix which may be omitted for print);
  partially rewritten upon referee's request",,,,"quant-ph",,"  A structural similarity between Classical Mechanics (CM) and Quantum
Mechanics (QM) was revealed by P.A.M. Dirac in terms of Lie Algebras: while in
CM the dynamics is determined by the Lie algebra of Poisson brackets on the
manifold of scalar fields for classical position/momentum observables q/p, d/dt
q={q,H}, d/dt p={p,H}, QM evolves (in Heisenberg's picture) according to the
formally similar Lie algebra of commutator brackets of the corresponding
operators Q/P: d/dt Q=i/h [Q,H], d/dt P=i/h [P,H] where QP-PQ=ih. A further
common framework for comparing CM and QM is the category of symplectic
manifolds. Other than previous authors, this paper considers phase space of
Heisenberg's picture, i.e., the manifold of pairs of operator observables (Q,P)
satisfying commutation relation. On a sufficiently high algebraic level of
abstraction -- which we believe to be of interest on its own -- it turns out
that this approach leads to a truly NON-linear yet Hamiltonian reformulation of
QM evolution.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 12:31:06 GMT""},{""version"":""v2"",""created"":""Thu, 12 Jun 2003 11:44:05 GMT""},{""version"":""v3"",""created"":""Fri, 20 Jun 2003 10:50:07 GMT""},{""version"":""v4"",""created"":""Mon, 7 Jul 2003 09:02:31 GMT""}]","2007-05-23"
"quant-ph/0210199","Alessandro Teta","D. Duerr, R. Figari, A. Teta","Decoherence in a Two-Particle Model","24 pages, Latex",,,,"quant-ph",,"  We consider a simple one dimensional quantum system consisting of a heavy and
a light particle interacting via a point interaction. The initial state is
chosen to be a product state, with the heavy particle described by a coherent
superposition of two spatially separated wave packets with opposite momentum
and the light particle localized in the region between the two wave packets. We
characterize the asymptotic dynamics of the system in the limit of small mass
ratio, with an explicit control of the error. We derive the corresponding
reduced density matrix for the heavy particle and explicitly compute the
(partial) decoherence effect for the heavy particle induced by the presence of
the light one for a particular set up of the parameters.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 12:07:03 GMT""}]","2007-05-23"
"quant-ph/0210200","Bassano Vacchini","L.Lanz, O.Melsheimer, B.Vacchini","Physics of a microsystem starting from non-equilibrium quantum
  statistical mechanics","14 pages, latex, no figures, contribution to the Proceedings of the
  XXXIII Symposium on Mathematical Physics (Torun, Poland)","Rep. Math. Phys. 49 (2002) 279-293","10.1016/S0034-4877(02)80026-X",,"quant-ph",,"  In this paper we address the problem to give a concrete support to the idea,
originally stemming from Niels Bohr, that quantum mechanics must be rooted
inside the physics of macroscopic systems. It is shown that, starting from the
formalism of the non-equilibrium statistical operator, which is now a
consolidated part of quantum statistical mechanics, particular correlations
between two isolated systems can be singled out and interpreted as
microsystems. In this way also a new framework is established in which
questions of decoherence can be naturally addressed.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 12:53:32 GMT""}]","2009-11-07"
"quant-ph/0210201","Che-Ming Li","Jin-Yuan Hsieh, Che-Ming Li, Jenn-Sen Lin, and Der-San Chuu","Formulation of a Family of Sure-Success Quantum Search Algorithms","10 pages, 3 figures","International Journal of Quantum Information, Vol. 2, No. 3, pp.
  285-294 (2004)",,,"quant-ph",,"  In this work, we consider a family of sure-success quantum algorithms, which
is grouped into even and odd members for solving a generalized Grover search
problem. We prove the matching conditions for both groups and give the
corresponding formulae for evaluating the iterations or oracle calls required
in the search computation. We also present how to adjust the phase angles in
the generalized Grover operator to ensure the sure-success if minimal oracle
calls are demanded in the search.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 14:06:44 GMT""}]","2007-05-23"
"quant-ph/0210202","Jason Twamley","J. Twamley (National University of Ireland Maynooth, Ireland)","Quantum cellular automata quantum computing with endohedral fullerenes","16 pages, Latex, 5 figures, See http://planck.thphys.may.ie/QIPDDF/
  submitted to Phys. Rev. A",,"10.1103/PhysRevA.67.052318","MP28-Oct-2002NUIM","quant-ph cond-mat",,"  We present a scheme to perform universal quantum computation using global
addressing techniques as applied to a physical system of endohedrally doped
fullerenes. The system consists of an ABAB linear array of Group V endohedrally
doped fullerenes. Each molecule spin site consists of a nuclear spin coupled
via a Hyperfine interaction to an electron spin. The electron spin of each
molecule is in a quartet ground state $S=3/2$. Neighboring molecular electron
spins are coupled via a magnetic dipole interaction. We find that an
all-electron construction of a quantum cellular automata is frustrated due to
the degeneracy of the electronic transitions. However, we can construct a
quantum celluar automata quantum computing architecture using these molecules
by encoding the quantum information on the nuclear spins while using the
electron spins as a local bus. We deduce the NMR and ESR pulses required to
execute the basic cellular automata operation and obtain a rough figure of
merit for the the number of gate operations per decoherence time. We find that
this figure of merit compares well with other physical quantum computer
proposals. We argue that the proposed architecture meets well the first four
DiVincenzo criteria and we outline various routes towards meeting the fifth
criteria: qubit readout.
","[{""version"":""v1"",""created"":""Wed, 30 Oct 2002 14:44:56 GMT""}]","2009-11-07"
