"astro-ph/0209192","Gianfranco Bertone","Gianfranco Bertone, Claudia Isola, Martin Lemoine, Guenter Sigl","Ultra-High Energy Heavy Nuclei Propagation in Extragalactic Magnetic
  Fields","10 pages, 16 figures, submitted to PRD","Phys.Rev. D66 (2002) 103003","10.1103/PhysRevD.66.103003",,"astro-ph hep-ph",,"  We extend existing work on the propagation of ultra-high energy cosmic rays
in extragalactic magnetic fields to a possible component of heavy nuclei,
taking into account photodisintegration, pion production, and creation of e+e-
pairs. We focus on the influence of the magnetic field on the spectrum and
chemical composition of observed ultra-high energy cosmic rays. We apply our
simulations to the scenarios proposed by Anchordoqui et al, in which Iron
nuclei are accelerated in nearby starburst galaxies, and show that it is in
marginal agreement with the data. We also show that it is highly unlikely to
detect He nuclei from M87 at the highest energies observed $\sim3 10^{20} $eV
as required for the scenario of Ahn et al. in which the highest energy cosmic
rays originate from M87 and are deflected in a Parker spiral Galactic magnetic
field.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 16:58:44 GMT""}]","2009-11-07"
"nlin/0209024","Cristobal Lopez","Zoltan Neufeld, Cristobal Lopez, Emilio Hernandez-Garcia, and Oreste
  Piro","Excitable media in open and closed chaotic flows","14 pages, 16 figures","Physical Review E 66, 066208 (2002).","10.1103/PhysRevE.66.066208",,"nlin.CD",,"  We investigate the response of an excitable medium to a localized
perturbation in the presence of a two-dimensional smooth chaotic flow. Two
distinct types of flows are numerically considered: open and closed. For both
of them three distinct regimes are found, depending on the relative strengths
of the stirring and the rate of the excitable reaction. In order to clarify and
understand the role of the many competing mechanisms present, simplified models
of the process are introduced. They are one-dimensional baker-map models for
the flow and a one-dimensional approximation for the transverse profile of the
filaments.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 16:12:08 GMT""}]","2009-11-07"
"nlin/0209025","Jianke Yang","Alan Champneys, Jianke Yang","A scalar nonlocal bifurcation of solitary waves for coupled nonlinear
  Schroedinger systems","To appear in Nonlinearity",,"10.1088/0951-7715/15/6/319",,"nlin.PS",,"  An explanation is given for previous numerical results which suggest a
certain bifurcation of `vector solitons' from scalar (single-component)
solitary waves in coupled nonlinear Schroedinger (NLS) systems. The bifurcation
in question is nonlocal in the sense that the vector soliton does not have a
small-amplitude component, but instead approaches a solitary wave of one
component with two infinitely far-separated waves in the other component. Yet,
it is argued that this highly nonlocal event can be predicted from a purely
local analysis of the central solitary wave alone. Specifically the
linearisation around the central wave should contain asymptotics which grow at
precisely the speed of the other-component solitary waves on the two wings.
This approximate argument is supported by both a detailed analysis based on
matched asymptotic expansions, and numerical experiments on two example
systems. The first is the usual coupled NLS system involving an arbitrary ratio
between the self-phase and cross-phase modulation terms, and the second is a
coupled NLS system with saturable nonlinearity that has recently been
demonstrated to support stable multi-peaked solitary waves. The asymptotic
analysis further reveals that when the curves which define the proposed
criterion for scalar nonlocal bifurcations intersect with boundaries of certain
local bifurcations, the nonlocal bifurcation could turn from scalar to
non-scalar at the intersection. This phenomenon is observed in the first
example. Lastly, we have also selectively tested the linear stability of
several solitary waves just born out of scalar nonlocal bifurcations. We found
that they are linearly unstable. However, they can lead to stable solitary
waves through parameter continuation.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 20:36:40 GMT""}]","2009-11-07"
"nlin/0209026","Zhijun Qiao","Darryl D. Holm, Zhijun Qiao","An integrable hierarchy, parametric solution and traveling wave solution","22 pages, 8 figures",,,,"nlin.SI",,"  This paper gives an integrable hierarchy of nonlinear evolution equations. In
this hierarchy there are the following representative equations: \beqq & &
u_t=\pa^5_x u^{-{2/3}}, & & u_t=\pa^5_x\frac{(u^{-{1/3}})_{xx}
  -2(u^{-{1/6}})_{x}^2}{u}; & & u_{xxt}+3u_{xx}u_x+u_{xxx}u=0. \eeqq The first
two are in the positive order hierarchy while the 3rd one is in the negative
order hierarchy. The whole hierarchy is shown integrable through solving a key
$3\times 3 $ matrix equation. The $3\times3$ Lax pairs and their adjoint
representations are nonlinearized to be two Liouville-integrable canonical
Hamiltonian systems. Based on the integrability of $6N$-dimensional systems we
give the parametric solution of the positive hierarchy. In particular, we
obtain the parametric solution of the equation $u_t=\pa^5_x u^{-{2/3}}$.
Moreover, we give the traveling wave solution (TWS) of the above three
equations. The TWSs of the first two equations have singularity and look like
cusp (cusp-like), but the TWS of the 3rd one is continuous. For the 5th-order
equation, its parametric solution can not include its singular TWS. We also
analyse the Gaussian initial solutions for the equations $u_t=\pa^5_x
u^{-{2/3}}$, and $u_{xxt}+3u_{xx}u_x+u_{xxx}u=0.$ One is stable, the other not.
Finally, we extend the equation $u_t=\pa^5_x u^{-{2/3}}$ to a large class of
equations $ u_t=\partial_x^l u^{-m/n}, l\ge1, n\not=0, m,n \in \Z, $ which
still have the singular cusp-like traveling wave solutions.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 20:43:51 GMT""},{""version"":""v2"",""created"":""Thu, 10 Oct 2002 20:32:11 GMT""},{""version"":""v3"",""created"":""Fri, 1 Nov 2002 18:47:18 GMT""}]","2007-05-23"
"nucl-th/0209032","Gulminelli","F.Gulminelli, PH.Chomaz","Equilibrium under flow","5 pages, 3 figures","Nucl.Phys. A734 (2004) 581-588","10.1016/j.nuclphysa.2004.01.107",,"nucl-th",,"  Using information theory we derive a thermodynamics for systems evolving
under a collective motion, i.e. under a time-odd constraint. An illustration
within the Lattice gas Model is given for two model cases: a collision between
two complex particles leading to a incomplete relaxation of the incoming
momentum, and a self-similar expansion. A semi-quantitative connection with the
determination of thermodynamical quantities in multifragmentation reactions is
done showing that they are affected in a sizeable way only when the flow
dominates the global energetic.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 13:39:18 GMT""}]","2015-06-26"
"physics/0209048","Juan Pablo Neirotti","Juan Pablo Neirotti and Nestor Caticha","Dynamical transitions in the evolution of learning algorithms by
  selection","11 pages, 11 figures, 2 tables",,"10.1103/PhysRevE.67.041912",,"physics.bio-ph cond-mat.dis-nn",,"  We study the evolution of artificial learning systems by means of selection.
Genetic programming is used to generate a sequence of populations of algorithms
which can be used by neural networks for supervised learning of a rule that
generates examples. In opposition to concentrating on final results, which
would be the natural aim while designing good learning algorithms, we study the
evolution process and pay particular attention to the temporal order of
appearance of functional structures responsible for the improvements in the
learning process, as measured by the generalization capabilities of the
resulting algorithms. The effect of such appearances can be described as
dynamical phase transitions. The concepts of phenotypic and genotypic
entropies, which serve to describe the distribution of fitness in the
population and the distribution of symbols respectively, are used to monitor
the dynamics. In different runs the phase transitions might be present or not,
with the system finding out good solutions, or staying in poor regions of
algorithm space. Whenever phase transitions occur, the sequence of appearances
are the same. We identify combinations of variables and operators which are
useful in measuring experience or performance in rule extraction and can thus
implement useful annealing of the learning schedule.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 18:52:04 GMT""}]","2009-11-07"
"physics/0209049","Ignatov Alexander","A.M. Ignatov","Interaction between dust grains near a conducting wall","9 pages. 3 figures. Submitted to Plasma Physics Reports",,"10.1134/1.1568141",,"physics.plasm-ph physics.gen-ph",,"  The effect of the conducting electrode on the interaction of dust grains in a
an ion flow is discussed. It is shown that two grains levitating above the
electrode at the same height may attract one another. This results in the
instability of a dust layer in a plasma sheath.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 08:08:05 GMT""}]","2009-11-07"
"physics/0209050","Lorikyan","M. P. Lorikyan","New investigations of the porous dielectric detectors","23 pages, 12 Figures",,"10.1016/j.nima.2003.08.068",,"physics.ins-det",,"  The results of the study of the multiwire porous dielectric detector and
microstrip porous dielectric detector filled with porous CsI are presented.
Detectors were exposed to $\alpha $-particles with energy of 5.46 MeV and
X-rays with energy of 5.9 keV and operated with a constant applied voltage. It
is found that right after thermal deposition of the porous CsI layer the
detector's performance is unstable, it has poor spatial resolution. However in
a course of time the performance becomes stable and it acquires high spatial
resolution.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 14:34:41 GMT""}]","2015-06-26"
"physics/0209051","Giovanni Modanese","Evgeny Podkletnov, Giovanni Modanese","Investigation of high voltage discharges in low pressure gases through
  large ceramic superconducting electrodes","PDF, 18 pages, 5 figures. Final journal version. Regrettably, there
  are two misprints. The correct version is as follows. Page 8, 1st paragraph:
  ""Taking an emitter area ... one finds j=10^6 A/m."" Page 8, 2nd paragraph:
  ""The electrostatic energy ... is of the order of 10^3 J.""","J. Low Temp. Phys. 132 (2003) 239-259",,,"physics.gen-ph",,"  A device has been built and tested, in which a ceramic superconducting
cathode and a copper anode cause electrical discharges in low pressure gases,
at temperatures between 50 and 70 K. The electrodes are connected to a
capacitors array charged up to 2000 kV; peak currents are of the order of 10^4
A. The cathode has the diameter of 10 cm and is fabricated by OCMTG technology.
In discharges at voltage above 500 kV two new phenomena were observed, probably
related to each other. First, the discharge does not look like a spark, but is
a flat, glowing discharge, which originates from the whole surface of the
superconducting electrode. Furthermore, a radiation pulse is emitted at the
discharge, which propagates orthogonally to the cathode, towards the anode and
beyond it, in a collimated beam, apparently without any attenuation. The
radiation pulse carries an energy of 10^-3 J at least. The features and the
nature of this radiation have been investigated by several means, still it was
not possible to identify it; we can only exclude that it is electromagnetic
radiation or any other radiation with energy-momentum relationship E=cp.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 14:55:34 GMT""},{""version"":""v2"",""created"":""Sat, 26 Apr 2003 13:35:56 GMT""},{""version"":""v3"",""created"":""Mon, 15 Sep 2003 12:53:29 GMT""}]","2007-05-23"
"quant-ph/0209077","Patrick Navez","Patrick Navez","Frequency down conversion through Bose condensation of light","4 pages, 1 figures",,"10.1103/PhysRevA.68.013811",,"quant-ph",,"  We propose an experimental set up allowing to convert an input light of
wavelengths about $1-2 \mu m$ into an output light of a lower frequency. The
basic principle of operating relies on the nonlinear optical properties
exhibited by a microcavity filled with glass. The light inside this material
behaves like a 2D interacting Bose gas susceptible to thermalise and create a
quasi-condensate. Extension of this setup to a photonic bandgap material (fiber
grating) allows the light to behave like a 3D Bose gas leading, after
thermalisation, to the formation of a Bose condensate. Theoretical estimations
show that a conversion of $1 \mu m$ into $1.5 \mu m$ is achieved with an input
pulse of about $1 ns$ with a peak power of $10^3 W$, using a fiber grating
containing an integrated cavity of size about $500 \mu m \times 100 \mu m^2$.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 17:03:14 GMT""}]","2009-11-07"
"quant-ph/0209078","John Henry Reina Estupinan","Brendon Lovett (1), John H. Reina (1 and 2), Ahsan Nazir (1), Beeneet
  Kothari (1), Andrew Briggs (1) ((1) Materials Department, Oxford, (2) Physics
  Department and CQC, Oxford)","Resonant Transfer of Excitons and Quantum Computation","4 pages, 4 separate figures, REVTeX 4 style",,"10.1016/S0375-9601(03)00999-X",,"quant-ph cond-mat",,"  Resonant energy transfer mechanisms have been observed in the sensitized
luminescence of solids, in quantum dots and in molecular nanostructures, and
they also play a central role in light harvesting processes in photosynthetic
organisms. We demonstrate that such mechanisms, together with the
exciton-exciton binding energy shift typical of these nanostructures, can be
used to perform universal quantum logic. In particular, we show how to generate
controlled exciton entanglement and identify two different regimes of quantum
behaviour.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 19:21:11 GMT""},{""version"":""v2"",""created"":""Mon, 6 Jan 2003 11:12:53 GMT""}]","2009-11-07"
"quant-ph/0209079","Luca Tessieri","L. Tessieri and J. Wilkie","Decoherence in a spin--spin-bath model with environmental
  self-interaction","30 pages, 18 figures, LaTeX file",,,,"quant-ph",,"  A low temperature model system consisting of a central spin coupled to a
spin-bath is studied to determine whether interaction among bath spins has an
effect on central spin dynamics. In the absence of intra-environmental
coupling, decoherence of the central spin is fast and irreversible. Strong
intra-environmental interaction results in an effective decoupling of the
central spin from the bath and suppression of decoherence. Weaker
intra-environmental coupling reduces but does not eliminate decoherence. We
believe that similar behaviour will be observed in any system with a
self-interacting environment.
","[{""version"":""v1"",""created"":""Wed, 11 Sep 2002 21:39:57 GMT""}]","2007-05-23"
"quant-ph/0209080","Nathalie Debergh","N. Debergh, J. Ndimubandi, B. Van den Bossche","A General Approach of Quasi-Exactly Solvable Schroedinger Equations with
  Three Known Eigenstates",,,"10.1142/S0217751X0301694X",,"quant-ph",,"  We propose a general method for constructing quasi-exactly solvable
potentials with three analytic eigenstates. These potentials can be real or
complex functions but the spectrum is real. A comparison with other methods is
also performed.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 08:30:01 GMT""}]","2009-11-07"
"quant-ph/0209081","Fabio Benatti","F. Benatti, H. Narnhofer, A. Uhlmann","Broken Symmetries in the Entanglement of Formation","21 pages, LateX, no figures",,"10.1063/1.1570509",,"quant-ph",,"  We compare some recent computations of the entanglement of formation in
quantum information theory and of the entropy of a subalgebra in quantum
ergodic theory. Both notions require optimization over decompositions of
quantum states. We show that both functionals are strongly related for some
highly symmetric density matrices. We discuss the presence of broken symmetries
in relation with the structure of the optimal decompositions.
","[{""version"":""v1"",""created"":""Thu, 12 Sep 2002 13:44:09 GMT""}]","2009-11-07"
